Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Sial_aa_1 Spectral Count	Sial_aa_2 Spectral Count	Sial_aa_3 Spectral Count	rPAL_aa_1 Spectral Count	rPAL_aa_2 Spectral Count	rPAL_aa_3 Spectral Count	Sial_aa_1 Unique Spectral Count	Sial_aa_2 Unique Spectral Count	Sial_aa_3 Unique Spectral Count	rPAL_aa_1 Unique Spectral Count	rPAL_aa_2 Unique Spectral Count	rPAL_aa_3 Unique Spectral Count	Sial_aa_1 Total Spectral Count	Sial_aa_2 Total Spectral Count	Sial_aa_3 Total Spectral Count	rPAL_aa_1 Total Spectral Count	rPAL_aa_2 Total Spectral Count	rPAL_aa_3 Total Spectral Count	Sial_aa_1 Intensity	Sial_aa_2 Intensity	Sial_aa_3 Intensity	rPAL_aa_1 Intensity	rPAL_aa_2 Intensity	rPAL_aa_3 Intensity	Sial_aa_1 MaxLFQ Intensity	Sial_aa_2 MaxLFQ Intensity	Sial_aa_3 MaxLFQ Intensity	rPAL_aa_1 MaxLFQ Intensity	rPAL_aa_2 MaxLFQ Intensity	rPAL_aa_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A024R1R8|TMA7B_HUMAN	A0A024R1R8	TMA7B_HUMAN	TMA7B	64	Homo sapiens	3:Protein inferred from homology	Translation machinery-associated protein 7B	0.9574	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	11763.055	9952.74	5554.5537	21330.219	6151.087	0.0	11763.055	9952.74	5554.5537	21330.219	6151.087	sp|Q9Y2S6|TMA7_HUMAN
sp|A0A024RBG1|NUD4B_HUMAN	A0A024RBG1	NUD4B_HUMAN	NUDT4B	181	Homo sapiens	1:Experimental evidence at protein level	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	0.9999	0.999	2	4	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0.0	28631.16	0.0	0.0	16583.645	0.0	0.0	13816.3955	0.0	0.0	21681.59	0.0	sp|Q9NZJ9|NUDT4_HUMAN
sp|A0FGR8|ESYT2_HUMAN	A0FGR8	ESYT2_HUMAN	ESYT2	921	Homo sapiens	1:Experimental evidence at protein level	Extended synaptotagmin-2	1.0	0.999	40	658	658	658	96	110	101	132	115	104	96	110	101	132	115	104	96	110	101	132	115	104	8463510.0	9368228.0	9953317.0	9783600.0	1.0132157E7	9622849.0	849896.6	945061.9	984959.06	961671.5	996772.4	961512.94	
sp|A0JLT2|MED19_HUMAN	A0JLT2	MED19_HUMAN	MED19	244	Homo sapiens	1:Experimental evidence at protein level	Mediator of RNA polymerase II transcription subunit 19	1.0	0.999	4	68	68	68	9	14	9	9	13	14	9	14	9	9	13	14	9	14	9	9	13	14	383173.1	582574.56	476582.5	509509.5	615389.56	533247.44	123637.41	188589.75	165298.23	172824.62	203537.78	182293.25	
sp|A0M8Q6|IGLC7_HUMAN	A0M8Q6	IGLC7_HUMAN	IGLC7	106	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda constant 7	0.9576	0.999	1	4	0	4	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0.0	0.0	43110.23	44550.42	0.0	46253.617	0.0	0.0	43110.23	44550.42	0.0	46253.617	sp|B9A064|IGLL5_HUMAN, sp|P0CF74|IGLC6_HUMAN, sp|P0CG04|IGLC1_HUMAN, sp|P0DOY2|IGLC2_HUMAN, sp|P0DOY3|IGLC3_HUMAN
sp|A1A4S6|RHG10_HUMAN	A1A4S6	RHG10_HUMAN	ARHGAP10	786	Homo sapiens	1:Experimental evidence at protein level	Rho GTPase-activating protein 10	1.0	0.999	8	37	36	37	3	4	4	8	8	10	3	4	4	8	8	9	3	4	4	8	8	10	120585.49	170311.28	146479.22	213016.66	240132.34	201905.39	45968.906	47297.074	42661.15	59299.766	54620.113	57066.477	
sp|A1L0T0|HACL2_HUMAN	A1L0T0	HACL2_HUMAN	HACL2	632	Homo sapiens	1:Experimental evidence at protein level	2-hydroxyacyl-CoA lyase 2	0.9577	0.999	1	2	2	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	20610.709	21225.736	16095.307	0.0	22796.586	16951.219	20610.709	21225.736	16095.307	0.0	22796.586	16951.219	
sp|A1L390|PKHG3_HUMAN	A1L390	PKHG3_HUMAN	PLEKHG3	1219	Homo sapiens	1:Experimental evidence at protein level	Pleckstrin homology domain-containing family G member 3	1.0	0.999	5	13	12	13	2	2	1	2	4	2	2	1	1	2	4	2	2	2	1	2	4	2	19901.346	68674.98	62466.797	62796.652	81389.04	51023.965	44635.69	25120.012	27149.041	29587.936	33836.41	23454.549	
sp|A2A2Z9|AN18B_HUMAN	A2A2Z9	AN18B_HUMAN	ANKRD18B	1011	Homo sapiens	1:Experimental evidence at protein level	Ankyrin repeat domain-containing protein 18B	0.7805	0.9937	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	195457.45	187978.66	182262.3	194384.45	156868.25	171355.03	195457.45	187978.66	182262.3	194384.45	156868.25	171355.03	sp|Q8IVF6|AN18A_HUMAN
sp|A2A3N6|PIPSL_HUMAN	A2A3N6	PIPSL_HUMAN	PIPSL	862	Homo sapiens	5:Protein uncertain	Putative PIP5K1A and PSMD4-like protein	0.9987	0.999	9	3	3	76	0	0	1	0	1	1	0	0	1	0	1	1	12	11	12	13	13	15	40235.41	26002.041	30035.908	31345.625	26213.322	27246.43	40235.41	26002.041	30035.908	31345.625	26213.322	27246.43	
sp|A2RRP1|NBAS_HUMAN	A2RRP1	NBAS_HUMAN	NBAS	2371	Homo sapiens	1:Experimental evidence at protein level	NBAS subunit of NRZ tethering complex	0.9911	0.999	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	10214.492	0.0	8946.335	0.0	0.0	0.0	10214.492	0.0	8946.335	0.0	0.0	0.0	
sp|A2RTX5|SYTC2_HUMAN	A2RTX5	SYTC2_HUMAN	TARS3	802	Homo sapiens	1:Experimental evidence at protein level	Threonine--tRNA ligase 2, cytoplasmic	1.0	0.999	9	29	29	32	4	12	8	3	2	0	4	12	8	3	2	0	6	13	8	3	2	0	153500.1	264796.62	205006.98	79320.61	92320.016	96706.22	63483.324	69974.52	65875.7	32552.514	32135.611	37679.168	
sp|A2RUS2|DEND3_HUMAN	A2RUS2	DEND3_HUMAN	DENND3	1198	Homo sapiens	1:Experimental evidence at protein level	DENN domain-containing protein 3	1.0	0.999	15	96	96	96	15	20	15	13	18	15	15	20	15	13	18	15	15	20	15	13	18	15	656497.1	692515.75	694207.3	739788.2	745954.56	727628.0	82194.14	106572.305	101622.25	97316.79	110864.516	100561.88	
sp|A3KMH1|VWA8_HUMAN	A3KMH1	VWA8_HUMAN	VWA8	1905	Homo sapiens	1:Experimental evidence at protein level	von Willebrand factor A domain-containing protein 8	1.0	0.999	3	6	6	6	0	0	2	0	1	3	0	0	2	0	1	3	0	0	2	0	1	3	184311.95	54235.453	94582.664	246122.19	249475.75	235420.75	108879.55	161319.55	74618.05	148147.72	190448.77	112628.04	
sp|A3KN83|SBNO1_HUMAN	A3KN83	SBNO1_HUMAN	SBNO1	1393	Homo sapiens	1:Experimental evidence at protein level	Protein strawberry notch homolog 1	1.0	0.999	5	48	25	48	9	8	8	9	8	6	3	5	4	5	6	2	9	8	8	9	8	6	199944.22	241462.5	147564.95	168095.9	234574.72	182312.08	73074.125	74594.3	76996.32	56305.684	76136.17	59049.066	
sp|A4D1E9|GTPBA_HUMAN	A4D1E9	GTPBA_HUMAN	GTPBP10	387	Homo sapiens	1:Experimental evidence at protein level	GTP-binding protein 10	1.0	0.999	4	15	15	15	3	4	5	1	2	0	3	4	5	1	2	0	3	4	5	1	2	0	77899.03	91661.69	91507.33	43385.21	36375.977	12095.249	29834.525	38612.39	35695.652	17824.354	25750.275	13682.866	
sp|A4FU28|CTGE9_HUMAN	A4FU28	CTGE9_HUMAN	CTAGE9	777	Homo sapiens	2:Experimental evidence at transcript level	cTAGE family member 9	0.9892	0.999	2	3	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0.0	12888.149	10717.276	11206.936	18390.77	7706.3325	0.0	12888.149	10717.276	11206.936	18390.77	7706.3325	
sp|A5A3E0|POTEF_HUMAN	A5A3E0	POTEF_HUMAN	POTEF	1075	Homo sapiens	1:Experimental evidence at protein level	POTE ankyrin domain family member F	1.0	0.9948	12	5	5	710	0	0	0	1	2	2	0	0	0	1	2	2	120	113	101	133	106	137	0.0	12247.371	0.0	4195.869	3784.5847	0.0	0.0	12247.371	0.0	4195.869	3784.5847	0.0	
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	1.0	0.999	29	146	146	146	15	23	23	24	27	34	15	23	23	24	27	34	15	23	23	24	27	34	1383172.9	1088830.1	1358884.2	1340636.0	1429322.4	1320864.2	166428.61	211292.5	194942.8	205403.61	224386.11	226454.1	
sp|A6NCC3|GOG8O_HUMAN	A6NCC3	GOG8O_HUMAN	GOLGA8O	632	Homo sapiens	1:Experimental evidence at protein level	Golgin subfamily A member 8O	1.0	0.999	5	26	0	26	3	3	3	6	7	4	0	0	0	0	0	0	3	3	3	6	7	4	191574.25	160106.81	190035.27	203905.88	272602.84	207611.94	56296.17	54924.016	58596.617	68103.22	80317.81	71275.94	sp|F8WBI6|GOG8N_HUMAN, sp|H3BV12|GOG8Q_HUMAN
sp|A6NDE4|RBY1B_HUMAN	A6NDE4	RBY1B_HUMAN	RBMY1B	496	Homo sapiens	2:Experimental evidence at transcript level	RNA-binding motif protein, Y chromosome, family 1 member B	1.0	0.999	6	36	0	36	4	3	5	11	6	7	0	0	0	0	0	0	4	3	5	11	6	7	195886.1	195177.34	214286.9	312020.06	194063.81	256248.02	63736.477	59461.137	63365.598	83048.27	65857.45	76813.46	sp|Q15415|RBY1F_HUMAN
sp|A6NFI3|ZN316_HUMAN	A6NFI3	ZN316_HUMAN	ZNF316	1004	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein 316	0.9996	0.999	3	17	17	17	5	2	2	2	3	3	5	2	2	2	3	3	5	2	2	2	3	3	67799.45	55996.25	51424.43	65981.59	47636.94	32034.023	33364.973	29869.062	39568.5	39940.23	28529.271	32034.023	
sp|A6NFQ2|TCAF2_HUMAN	A6NFQ2	TCAF2_HUMAN	TCAF2	919	Homo sapiens	1:Experimental evidence at protein level	TRPM8 channel-associated factor 2	1.0	0.999	9	50	50	50	2	5	6	11	15	11	2	5	6	11	15	11	2	5	6	11	15	11	186399.6	213560.55	223312.81	487768.03	608229.9	484629.3	47693.156	55526.43	56919.617	94371.64	117079.266	104332.11	
sp|A6NHG4|DDTL_HUMAN	A6NHG4	DDTL_HUMAN	DDTL	134	Homo sapiens	5:Protein uncertain	Putative D-dopachrome decarboxylase-like protein	0.9577	0.999	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	20725.955	0.0	0.0	11517.427	35923.395	0.0	20725.955	0.0	0.0	11517.427	35923.395	0.0	sp|P30046|DOPD_HUMAN
sp|A6NHR9|SMHD1_HUMAN	A6NHR9	SMHD1_HUMAN	SMCHD1	2005	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	1.0	0.999	28	166	166	166	21	28	31	30	25	31	21	28	31	30	25	31	21	28	31	30	25	31	934777.3	1062771.1	1144777.5	1214615.1	1027642.44	1126247.6	156588.64	153681.0	165786.61	157812.94	149507.33	143509.98	
sp|A6NJ78|MET15_HUMAN	A6NJ78	MET15_HUMAN	METTL15	407	Homo sapiens	1:Experimental evidence at protein level	12S rRNA N(4)-cytidine methyltransferase METTL15	1.0	0.999	4	4	2	4	1	0	1	1	1	0	1	0	0	0	1	0	1	0	1	1	1	0	37608.336	28126.32	37712.14	27283.246	39069.707	16325.863	12103.877	15510.04	26773.36	15231.092	21363.828	20692.752	
sp|A6NJT0|UNC4_HUMAN	A6NJT0	UNC4_HUMAN	UNCX	531	Homo sapiens	1:Experimental evidence at protein level	Homeobox protein unc-4 homolog	1.0	0.999	3	10	10	10	3	1	1	1	3	1	3	1	1	1	3	1	3	1	1	1	3	1	95456.15	116847.984	49833.676	59456.22	104207.61	73740.47	72226.02	99198.09	49833.676	59456.22	65188.23	61814.95	
