"Protein","rGAL_detected","UL_detected"
"HNRNPA1L3",3,3
"TTC34",2,2
"MYO1G",3,3
"C11orf98",3,3
"AP3B1",3,3
"PDHX",1,2
"IPO5",1,2
"KPNA3",2,2
"NOP56",3,3
"DDX3X",3,3
"AP3D1",3,3
"PRMT5",3,3
"GEMIN2",2,3
"MYL12B",3,3
"POLR1C",3,3
"POLR1G",2,1
"DHX15",2,2
"EEF1E1",3,3
"HNRNPR",3,0
"PRPF3",3,3
"FIBP",0,2
"TGM5",3,3
"PLRG1",0,3
"ACTN4",1,2
"MED14",1,3
"SMARCA5",3,2
"SYNCRIP",3,0
"NEMF",3,3
"H2BC12",3,3
"DKC1",2,2
"EIF5B",2,3
"ANKRD17",3,3
"PSIP1",3,3
"NPM3",3,3
"EIF3G",2,2
"BCAS2",3,3
"SRP72",3,3
"TOX",2,1
"NDUFB4",2,1
"SMC2",2,0
"MED26",0,3
"POLR1A",3,3
"AP2A1",3,3
"CAVIN2",2,3
"BAG2",3,3
"ACTL6A",3,3
"LDHA",3,3
"JCHAIN",1,2
"IGHA1",1,2
"LMNA",2,3
"TFRC",1,2
"CAT",3,3
"ANXA1",2,3
"SEMG1",0,2
"GAPDH",3,3
"HSPB1",2,3
"RPN1",3,3
"GNAI2",2,2
"H2AC4",3,3
"ARG1",2,3
"S100A8",2,3
"PCCA",3,3
"EIF2S1",3,3
"GSN",3,3
"PTMA",3,3
"ATP5F1B",1,3
"S100A9",3,3
"ENO1",2,3
"NPM1",3,3
"H2BC11",2,0
"CTSD",1,2
"ANXA2",3,3
"TUBB",3,3
"APRT",1,2
"EPRS1",3,3
"HSP90AA1",2,3
"HSP90AB1",3,3
"RPS17",3,0
"GSTP1",3,3
"PARP1",3,3
"UBB",3,3
"CALM1",3,3
"H1-4",3,3
"DLAT",3,3
"TXN",2,3
"HSPD1",3,3
"HSPA5",3,3
"HSPA8",3,3
"PC",3,3
"PABPC1",3,3
"SLC25A6",3,3
"TPR",3,2
"PIP",1,3
"XRCC6",3,1
"EEF2",3,3
"ETFA",3,2
"DARS1",3,3
"JUP",3,3
"ANPEP",2,2
"DSP",3,3
"H1-5",3,3
"H1-3",3,3
"H1-2",3,3
"UBTF",3,3
"DDX5",3,3
"TCP1",3,1
"RPL7",3,3
"SON",3,2
"RPL17",3,3
"POLR2E",3,3
"EIF2S2",3,3
"LMNB1",2,1
"FLG",3,3
"FLNA",3,3
"FBL",3,3
"HNRNPA2B1",3,3
"TGM1",3,3
"XPA",2,1
"PPIB",3,1
"RPS3",3,3
"AHCY",0,2
"MCM3",3,3
"AZGP1",2,2
"ATP5F1A",3,3
"PSMA3",3,3
"MSN",3,3
"RPL13",3,3
"VARS1",3,3
"EEF1G",3,3
"STOM",2,2
"RPL10",0,2
"CANX",2,3
"PSMB6",3,2
"SERPINB3",3,2
"EEF1D",3,3
"CORO1A",2,1
"S100A7",0,2
"HNRNPH1",3,3
"CASP14",3,3
"PRDX2",3,3
"RPL9",3,1
"RFC4",3,3
"RFC2",2,3
"RFC1",3,3
"RPL22",3,3
"GTF2F1",2,3
"MYH9",3,3
"MYH10",3,3
"DEK",3,3
"ATP5F1C",3,3
"PPP1CC",2,2
"DLST",3,3
"SRP14",3,3
"HSPA9",3,3
"EIF4A3",3,3
"RPL3",2,3
"FEN1",3,0
"RPL13A",3,2
"RFC5",3,3
"RFC3",3,3
"HADHA",3,3
"EIF2S3",3,3
"CSK",2,3
"IARS1",3,3
"TMPO",3,3
"STAT1",3,1
"RBM34",2,2
"RPL35",3,3
"MATR3",3,3
"RPL27A",3,3
"RPL21",3,3
"RPL28",3,3
"RPS9",3,3
"IQGAP1",3,3
"QARS1",3,3
"RPL29",3,3
"LGALS7",1,2
"ATP5PO",3,3
"PIP4K2A",3,3
"TUFM",2,3
"SRP9",3,3
"CTCF",2,0
"CPT1A",2,2
"CDK9",2,0
"CCT4",1,2
"SMARCA2",1,3
"MECP2",3,3
"HNRNPA3",3,3
"HNRNPM",3,3
"KPNA2",3,3
"POLR2H",3,3
"HNRNPF",3,1
"RARS1",3,3
"HADHB",3,3
"EIF3B",3,3
"MARS1",3,3
"EIF6",1,2
"GNG2",3,3
"AP3S2",3,3
"ARPC4",3,3
"TPI1",3,3
"NANOS3",2,0
"MYL6",3,3
"ACTB",3,3
"EIF4A1",3,3
"RPS3A",3,3
"RPL26",3,3
"PSME3",1,2
"RPL15",3,2
"RPL27",2,0
"RPL37A",3,3
"LYZ",3,3
"DAD1",3,1
"RPL37",3,3
"HNRNPK",3,3
"RPS7",3,3
"PPP1CB",2,3
"RPS8",3,3
"RPS15A",3,3
"RPS16",3,1
"RPS14",3,3
"RPS23",3,3
"RPS18",3,3
"RPS29",3,3
"RPS13",3,3
"RPS11",3,3
"SNRPD2",2,0
"SNRPD3",3,3
"RAB11A",2,1
"RPS4X",3,3
"RPL23A",3,3
"RPS6",3,3
"H4C1",3,3
"RPL23",2,2
"RPS24",3,3
"RPS25",3,3
"RPS26",3,3
"RPL39",3,3
"RPL31",3,3
"RPL32",3,3
"RPL11",3,3
"RPL8",3,3
"PPIA",2,2
"YWHAZ",3,3
"RPL38",2,2
"TPM4",3,3
"ACTC1",3,3
"EEF1A1",3,3
"TUBA1B",3,3
"GTF2I",3,3
"PIP4K2B",3,3
"CCT2",2,0
"DCD",3,3
"MRPS15",2,2
"RPL24",3,3
"RPL19",3,3
"SRSF3",3,0
"TFAM",2,3
"SLC25A3",3,1
"HDLBP",3,2
"CLTC",3,3
"HNRNPU",3,3
"FABP5",2,2
"CAP1",2,0
"EWSR1",2,0
"DSG1",3,3
"EIF4G1",1,2
"SSBP1",3,0
"PRDX1",3,3
"SRSF1",3,0
"TGM3",3,3
"GOLGA2",0,2
"DSC1",3,3
"RBBP4",3,3
"AKAP13",2,1
"SF3A3",2,1
"AIMP1",3,2
"ILF3",2,0
"ACACA",3,3
"CHAF1B",2,3
"AIMP2",3,3
"DDX10",2,3
"EIF3I",2,3
"SF3B2",1,3
"IQGAP2",2,0
"KRR1",2,1
"THOC5",3,3
"PKP1",1,3
"BLMH",3,3
"EIF3A",1,2
"ELOA",3,3
"PDIA5",2,1
"RRP1B",3,3
"CHD4",2,1
"NUMA1",3,3
"KARS1",3,3
"PUM3",1,2
"DLGAP5",3,3
"SF3A2",3,1
"CDSN",3,2
"MED22",2,1
"TRIP13",3,3
"MED1",2,3
"SMN1",3,3
"IFI16",3,3
"CWF19L2",2,0
"RABL6",3,3
"FLG2",3,3
"HP1BP3",3,3
"GPATCH4",3,2
"KPRP",2,3
"ATAD3B",3,3
"THOC7",2,3
"NFRKB",2,2
"RSBN1L",3,3
"INO80C",3,3
"GIGYF2",3,3
"NCCRP1",1,3
"SND1",2,1
"EIF3M",3,3
"TAF8",3,3
"MTDH",3,3
"KTN1",3,3
"N4BP2",1,3
"ALYREF",3,0
"THOC6",3,3
"GATAD2A",2,0
"HRNR",3,3
"ANKHD1",2,2
"LSM14A",2,0
"ABCF1",3,3
"DDX55",1,3
"THOC2",3,3
"PIP4K2C",3,3
"STT3B",3,3
"UBASH3B",1,2
