"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOCC_RIBONUCLEOPROTEIN_COMPLEX",0.000144161547404259,0.0309947326919157,0.518848077743792,0.487535009002637,1.70098143749928,118,"HNRNPR;SYNCRIP;HNRNPU;GAR1;ALYREF;RPS17;LSM14A;SRSF1;RPL9;RPL22;RPL23A;RPS3A;SNRPD3;SNRPD2;RPL29;RPS26;RPS11;ILF3;RPS25;RPL35;HNRNPF;RPL26;RPL21;SND1;RPL17;RPL27;KRR1;FAM32A;RPS14;RPS7;SF3A3;EPRS1;RPL37A;FBL;HNRNPK;RPL28;RPS23;RPL19;RPL11;RPS13;SRP72;IQGAP1;RPS4X;RPL13A","GOCC","rGAL"
"GOCC_NUCLEOLUS",0.0013461401502757,0.144710066154638,0.45505986738723,0.462983059128916,1.60022378460587,107,"HNRNPR;SMC2;GAR1;RPS17;RPL9;RPL23A;RPS3A;POLR1G;RPL29;FEN1;RPS26;RPS11;ILF3;RPS25;EXOSC4;RPL35;PARP1;RPL26;RPL21;MCM3;EEF1D;RPL27;KRR1;FAM32A;RPS14;RPS7;SDAD1;PPP1CC;DEK;DDX10;IFI16;FBL;RPS23;RPL19;XRCC6;H1-10;RPL11;RPS13;RPS4X;RPL13A;RPS16;RBM34","GOCC","rGAL"
"GOCC_CYTOSOLIC_RIBOSOME",0.00242382009094689,0.17370710651786,0.431707695803346,0.540985486135606,1.71530902791682,53,"RPS17;RPL9;RPL22;RPL23A;RPS3A;RPL29;UBB;RPS26;RPS11;RPS25;RPL35;RPL26;RPL21;RPL17;RPL27;RPS14;RPS7;RPL37A;RPL28;RPS23;RPL19;RPL11;RPS13;RPS4X;RPL13A;RPS16","GOCC","rGAL"
"GOCC_SPLICEOSOMAL_COMPLEX",0.00330539549466165,0.177665007838064,0.431707695803346,0.596725785059934,1.73035575712712,31,"HNRNPR;SYNCRIP;HNRNPU;ALYREF;SRSF1;SNRPD3;SNRPD2","GOCC","rGAL"
"GOCC_TELOMERASE_HOLOENZYME_COMPLEX",0.00475433098318392,0.204436232276909,0.407017918923954,0.845425484606325,1.65442815850201,6,"HNRNPU;GAR1;SNRPD3","GOCC","rGAL"
"GOCC_CATALYTIC_STEP_2_SPLICEOSOME",0.00638464897574054,0.212115208873085,0.407017918923954,0.623307031847798,1.73991707763009,26,"HNRNPR;SYNCRIP;HNRNPU;ALYREF;SRSF1;SNRPD3;SNRPD2","GOCC","rGAL"
"GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX",0.00690607656796092,0.212115208873085,0.407017918923954,-0.698048045650048,-1.88202806148464,10,"AP2M1;JUP;TFRC;CLTC;AP2A1;ANXA2;CALM1","GOCC","UL"
"GOCC_CORNIFIED_ENVELOPE",0.0132121006384404,0.291960760865365,0.380730400722792,-0.553572535602008,-1.66562300359813,15,"HRNR;PKP1;JUP;DSP;ANXA2;FLG;SERPINB12;CASP14;TGM1;CDSN;DSG1;DSC1;FLG2","GOCC","UL"
"GOCC_TERTIARY_GRANULE",0.0159374344238732,0.291960760865365,0.352487857583619,-0.65,-1.75248429902245,10,"CTSD;PKP1;DSP;SERPINB12;LYZ;ATAD3B;STOM;DSG1;DSC1;FLG2","GOCC","UL"
"GOCC_CLATHRIN_COATED_VESICLE",0.0175733757173177,0.291960760865365,0.352487857583619,-0.749445436564203,-1.70152786782695,6,"AP2M1;TFRC;CLTC;AP2A1;AP3B1","GOCC","UL"
