"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOMF_MRNA_BINDING",0.000135884917332701,0.0199750828479071,0.518848077743792,0.60104856844314,1.85199968741159,48,"HNRNPR;SRSF3;SYNCRIP;HNRNPU;ALYREF;LSM14A;SRSF1;RPS3A;RPS26;ILF3;EXOSC4;RPL35;EIF2S2;NANOS3;RPL26","GOMF","rGAL"
"GOMF_TELOMERASE_RNA_BINDING",0.000356557513944959,0.0262069772749545,0.49849310876659,0.936567108269767,1.75884575189471,5,"HNRNPU;GAR1;SNRPD3","GOMF","rGAL"
"GOMF_SINGLE_STRANDED_DNA_BINDING",0.00258332283720623,0.116481109088006,0.431707695803346,0.797378807022233,1.76016704356237,9,"SSBP1;SMC2;HNRNPU","GOMF","rGAL"
"GOMF_STRUCTURAL_MOLECULE_ACTIVITY",0.00316955398878928,0.116481109088006,0.431707695803346,0.471774322620999,1.59251590182923,82,"RPS17;RPL9;RPL22;RPL23A;RPS3A;H1-4;RPL29;H2BC11;UBB;RPS26;RPS11;H1-3;RPS25;H1-5;H4C1;RPL35;RPL26;RPL21;H2AC4;RPL17;RPL27;RPS14;H2BC12;RPS7;ACTC1;LMNB1;RPL37A;RPL28;RPS23;RPL19;H1-10;RPL11;RPS13;RPS4X;RPL13A;TUBB;RPS16","GOMF","rGAL"
"GOMF_ACYLTRANSFERASE_ACTIVITY",0.0058061205495189,0.158302084723787,0.407017918923954,-0.635937914074048,-1.82687373068238,13,"NCCRP1;MED31;PDHX;NAT10;PRPF19;TGM3;TGM5;HADHA;DLAT","GOMF","UL"
"GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME",0.00739218871802932,0.158302084723787,0.407017918923954,0.50416811375596,1.59059097239353,52,"RPS17;RPL9;RPL22;RPL23A;RPS3A;RPL29;UBB;RPS26;RPS11;RPS25;RPL35;RPL26;RPL21;RPL17;RPL27;RPS14;RPS7;RPL37A;RPL28;RPS23;RPL19;RPL11;RPS13;RPS4X;RPL13A;RPS16","GOMF","rGAL"
"GOMF_TRANSCRIPTION_COACTIVATOR_ACTIVITY",0.0075381945106565,0.158302084723787,0.407017918923954,-0.544288836354401,-1.76897749617553,20,"MED26;MED20;ACTL6A;JUP;SMARCD1;MED14;NPM1;MED1;SMARCA2;PSIP1","GOMF","UL"
"GOMF_ENDOPEPTIDASE_ACTIVITY",0.0141250414604029,0.259547636834902,0.380730400722792,-0.798802210210047,-1.66564774354029,5,"PIP;CTSD;BLMH","GOMF","UL"
"GOMF_SIGNALING_RECEPTOR_BINDING",0.0327730493742666,0.535293139779688,0.321775918075361,-0.42381100097805,-1.48051514736131,26,"AP2M1;S100A7;SMARCD1;S100A14;EIF3A;CLTC;AP2A1;S100A9;MED1","GOMF","UL"
"GOMF_STRUCTURAL_CONSTITUENT_OF_CHROMATIN",0.0374251497005988,0.550149700598802,0.287857117255149,0.71221494666984,1.57217280672702,9,"H1-4;H2BC11;H1-3;H1-5;H4C1;H2AC4;H2BC12;H1-10","GOMF","rGAL"
"GOMF_RNA_POLYMERASE_ACTIVITY",0.0432795878355626,0.578372673802519,0.321775918075361,-0.70057242785323,-1.54634994225266,6,"MED20;POLR1A;POLR1B","GOMF","UL"
"GOMF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY",0.0496894409937888,0.596989966555184,0.252961123069611,0.727397661375558,1.50487411852471,7,"ATP5F1C;MAGT1;SLC25A3;NDUFB4","GOMF","rGAL"
