"","rGAL_1 MaxLFQ Intensity","rGAL_2 MaxLFQ Intensity","rGAL_3 MaxLFQ Intensity","UL_1 MaxLFQ Intensity","UL_2 MaxLFQ Intensity","UL_3 MaxLFQ Intensity"
"HNRNPA1L3",14.3581041119306,14.3024894206231,15.2654097540126,15.1591724409281,14.9262352016229,14.8596944892417
"TTC34",13.6248216096102,12.9675148410424,17.106642985717,13.9164694600553,10.9383515933464,14.8042563945411
"MYO1G",15.4408048157494,15.6464746142426,15.4077363581904,16.0917814312927,15.3713097344526,15.4140914882328
"C11orf98",15.9858131921921,15.9989856888442,16.0499553015314,16.0132957578732,16.0045329929777,15.6868335867105
"AP3B1",14.6586209768278,13.8752813017802,13.9961655679467,14.3442308464513,14.942031647688,14.4937999839539
"PDHX",15.0676719892268,13.2203881356428,11.5114998228647,14.8324376180078,15.1096543866509,14.9116471148156
"IPO5",12.2723553155056,12.8439377074647,12.729456646777,13.0485826588154,12.3459168359078,12.7676617495321
"KPNA3",15.2530178302658,15.6545206564164,15.4445894261483,15.4082574184251,14.9731568373077,15.0688556773907
"NOP56",15.1337510219925,15.5762348414906,14.9241863835686,14.4950713352488,14.481893380338,15.3218321820655
"DDX3X",14.9285556172576,14.4249752154596,15.1816399072597,15.3426312361243,15.1259804434746,15.0396156551053
"AP3D1",15.7394948898985,15.2136998009076,15.517589735096,16.0007458541493,15.884928069035,15.8651296055512
"PRMT5",16.0317170095883,15.7830591813529,15.5046622858599,16.2779629603021,15.9031431083991,16.2019649869774
"GEMIN2",15.4998072785329,15.4042853436619,15.6139114485259,15.2630865041708,16.1251903529392,15.3856672920573
"MYL12B",15.8249545651372,16.1442180867976,15.9701673350951,16.3126945604138,15.5592615519846,15.5559610194217
"POLR1C",16.4846437103278,16.8436917486566,16.5912087974772,16.8820077784025,16.551173729879,16.6559077266686
"POLR1G",15.8710255823291,15.6206186540142,15.7840144207765,14.9620743170193,13.5623137539694,13.3106422261967
"DHX15",14.9449797509263,14.8670402659895,14.6301837690195,14.2593615050259,14.949549443672,14.458991403976
"EEF1E1",17.1114258758064,17.8645559136392,17.8424032599238,15.5370432410484,15.0238963984118,15.9259522387799
"PRPF3",14.5081470343771,14.3428304816417,14.4732442442094,14.3945341041038,14.5588248600079,14.3851132959727
"TGM5",14.6584551289947,14.9477872717255,15.0316298759536,14.8998844298684,15.1456858129453,15.2441053861009
"ACTN4",13.1433348197731,12.3278824402382,12.7733550589692,13.2642609323708,12.3459168359078,13.2319962547971
"MED14",13.0281868539545,10.8393228176007,15.0595840168741,14.9801208296239,14.6020944069083,15.063942392587
"SMARCA5",15.3663867652076,14.8129940063909,14.8478278308229,15.1849837888461,14.9208864161844,14.9794504854715
"NEMF",15.0992111950496,14.8047591889905,15.2050983040581,14.9840570276806,15.3626361436698,14.5156149025333
"H2BC12",18.2840066607291,18.1936761787765,18.1686438178121,17.986489710487,17.6477401753165,17.9923016410154
"DKC1",14.6946098144561,15.1610566750326,15.344927295616,14.0736324817089,15.0980707495654,16.1511323178194
"EIF5B",14.4044840013816,15.5439410376288,15.6170355850887,15.9706957305253,15.5124503023213,15.7853060966652
"ANKRD17",14.9397607793557,14.3169964080109,14.791148895078,15.2279464229025,15.102422341701,15.1388545370232
