"Protein","rGAL_detected","UL_detected","MAR_values_imputed","MNAR_values_imputed"
"HNRNPA1L3",3,3,0,0
"TTC34",2,2,2,0
"MYO1G",3,3,0,0
"C11orf98",3,3,0,0
"AP3B1",3,3,0,0
"PDHX",1,2,1,2
"IPO5",1,2,1,2
"KPNA3",2,2,2,0
"NOP56",3,3,0,0
"DDX3X",3,3,0,0
"AP3D1",3,3,0,0
"PRMT5",3,3,0,0
"GEMIN2",2,3,1,0
"MYL12B",3,3,0,0
"POLR1C",3,3,0,0
"POLR1G",2,1,1,2
"DHX15",2,2,2,0
"EEF1E1",3,3,0,0
"HNRNPR",3,0,0,3
"PRPF3",3,3,0,0
"FIBP",0,2,1,3
"TGM5",3,3,0,0
"PLRG1",0,3,0,3
"ACTN4",1,2,1,2
"MED14",1,3,0,2
"SMARCA5",3,2,1,0
"SYNCRIP",3,0,0,3
"NEMF",3,3,0,0
"H2BC12",3,3,0,0
"DKC1",2,2,2,0
"EIF5B",2,3,1,0
"ANKRD17",3,3,0,0
"PSIP1",3,3,0,0
"NPM3",3,3,0,0
"EIF3G",2,2,2,0
"BCAS2",3,3,0,0
"SRP72",3,3,0,0
"TOX",2,1,1,2
"NDUFB4",2,1,1,2
"SMC2",2,0,1,3
"MED26",0,3,0,3
"POLR1A",3,3,0,0
"AP2A1",3,3,0,0
"CAVIN2",2,3,1,0
"BAG2",3,3,0,0
"ACTL6A",3,3,0,0
"LDHA",3,3,0,0
"JCHAIN",1,2,1,2
"IGHA1",1,2,1,2
"LMNA",2,3,1,0
"TFRC",1,2,1,2
"CAT",3,3,0,0
"ANXA1",2,3,1,0
"SEMG1",0,2,1,3
"GAPDH",3,3,0,0
"HSPB1",2,3,1,0
"RPN1",3,3,0,0
"GNAI2",2,2,2,0
"H2AC4",3,3,0,0
"ARG1",2,3,1,0
"S100A8",2,3,1,0
"PCCA",3,3,0,0
"EIF2S1",3,3,0,0
"GSN",3,3,0,0
"PTMA",3,3,0,0
"ATP5F1B",1,3,0,2
"S100A9",3,3,0,0
"ENO1",2,3,1,0
"NPM1",3,3,0,0
"H2BC11",2,0,1,3
"CTSD",1,2,1,2
"ANXA2",3,3,0,0
"TUBB",3,3,0,0
"APRT",1,2,1,2
"EPRS1",3,3,0,0
"HSP90AA1",2,3,1,0
"HSP90AB1",3,3,0,0
"RPS17",3,0,0,3
"GSTP1",3,3,0,0
"PARP1",3,3,0,0
"UBB",3,3,0,0
"CALM1",3,3,0,0
"H1-4",3,3,0,0
"DLAT",3,3,0,0
"TXN",2,3,1,0
"HSPD1",3,3,0,0
"HSPA5",3,3,0,0
"HSPA8",3,3,0,0
"PC",3,3,0,0
"PABPC1",3,3,0,0
"SLC25A6",3,3,0,0
"TPR",3,2,1,0
"PIP",1,3,0,2
"XRCC6",3,1,0,2
"EEF2",3,3,0,0
"ETFA",3,2,1,0
"DARS1",3,3,0,0
"JUP",3,3,0,0
"ANPEP",2,2,2,0
"DSP",3,3,0,0
"H1-5",3,3,0,0
"H1-3",3,3,0,0
"H1-2",3,3,0,0
"UBTF",3,3,0,0
"DDX5",3,3,0,0
"TCP1",3,1,0,2
"RPL7",3,3,0,0
"SON",3,2,1,0
"RPL17",3,3,0,0
"POLR2E",3,3,0,0
"EIF2S2",3,3,0,0
"LMNB1",2,1,1,2
"FLG",3,3,0,0
"FLNA",3,3,0,0
"FBL",3,3,0,0
"HNRNPA2B1",3,3,0,0
"TGM1",3,3,0,0
"XPA",2,1,1,2
"PPIB",3,1,0,2
"RPS3",3,3,0,0
"AHCY",0,2,1,3
"MCM3",3,3,0,0
"AZGP1",2,2,2,0
"ATP5F1A",3,3,0,0
"PSMA3",3,3,0,0
"MSN",3,3,0,0
"RPL13",3,3,0,0
"VARS1",3,3,0,0
"EEF1G",3,3,0,0
"STOM",2,2,2,0
"RPL10",0,2,1,3
"CANX",2,3,1,0
"PSMB6",3,2,1,0
"SERPINB3",3,2,1,0
"EEF1D",3,3,0,0
"CORO1A",2,1,1,2
"S100A7",0,2,1,3
"HNRNPH1",3,3,0,0
"CASP14",3,3,0,0
"PRDX2",3,3,0,0
"RPL9",3,1,0,2
"RFC4",3,3,0,0
"RFC2",2,3,1,0
"RFC1",3,3,0,0
"RPL22",3,3,0,0
"GTF2F1",2,3,1,0
"MYH9",3,3,0,0
"MYH10",3,3,0,0
"DEK",3,3,0,0
"ATP5F1C",3,3,0,0
"PPP1CC",2,2,2,0
"DLST",3,3,0,0
"SRP14",3,3,0,0
"HSPA9",3,3,0,0
"EIF4A3",3,3,0,0
"RPL3",2,3,1,0
"FEN1",3,0,0,3
"RPL13A",3,2,1,0
"RFC5",3,3,0,0
"RFC3",3,3,0,0
"HADHA",3,3,0,0
"EIF2S3",3,3,0,0
"CSK",2,3,1,0
"IARS1",3,3,0,0
"TMPO",3,3,0,0
"STAT1",3,1,0,2
"RBM34",2,2,2,0
"RPL35",3,3,0,0
"MATR3",3,3,0,0
"RPL27A",3,3,0,0
"RPL21",3,3,0,0
"RPL28",3,3,0,0
"RPS9",3,3,0,0
"IQGAP1",3,3,0,0
"QARS1",3,3,0,0
"RPL29",3,3,0,0
"LGALS7",1,2,1,2
"ATP5PO",3,3,0,0
"PIP4K2A",3,3,0,0
"TUFM",2,3,1,0
"SRP9",3,3,0,0
"CTCF",2,0,1,3
"CPT1A",2,2,2,0
"CDK9",2,0,1,3
"CCT4",1,2,1,2
"SMARCA2",1,3,0,2
"MECP2",3,3,0,0
"HNRNPA3",3,3,0,0
"HNRNPM",3,3,0,0
"KPNA2",3,3,0,0
"POLR2H",3,3,0,0
"HNRNPF",3,1,0,2
"RARS1",3,3,0,0
"HADHB",3,3,0,0
"EIF3B",3,3,0,0
"MARS1",3,3,0,0
"EIF6",1,2,1,2
"GNG2",3,3,0,0
"AP3S2",3,3,0,0
"ARPC4",3,3,0,0
"TPI1",3,3,0,0
"NANOS3",2,0,1,3
"MYL6",3,3,0,0
"ACTB",3,3,0,0
"EIF4A1",3,3,0,0
"RPS3A",3,3,0,0
"RPL26",3,3,0,0
"PSME3",1,2,1,2
"RPL15",3,2,1,0
"RPL27",2,0,1,3
"RPL37A",3,3,0,0
"LYZ",3,3,0,0
"DAD1",3,1,0,2
"RPL37",3,3,0,0
"HNRNPK",3,3,0,0
"RPS7",3,3,0,0
"PPP1CB",2,3,1,0
"RPS8",3,3,0,0
"RPS15A",3,3,0,0
"RPS16",3,1,0,2
"RPS14",3,3,0,0
"RPS23",3,3,0,0
"RPS18",3,3,0,0
"RPS29",3,3,0,0
"RPS13",3,3,0,0
"RPS11",3,3,0,0
"SNRPD2",2,0,1,3
"SNRPD3",3,3,0,0
"RAB11A",2,1,1,2
"RPS4X",3,3,0,0
"RPL23A",3,3,0,0
"RPS6",3,3,0,0
"H4C1",3,3,0,0
"RPL23",2,2,2,0
"RPS24",3,3,0,0
"RPS25",3,3,0,0
"RPS26",3,3,0,0
"RPL39",3,3,0,0
"RPL31",3,3,0,0
"RPL32",3,3,0,0
"RPL11",3,3,0,0
"RPL8",3,3,0,0
"PPIA",2,2,2,0
"YWHAZ",3,3,0,0
"RPL38",2,2,2,0
"TPM4",3,3,0,0
"ACTC1",3,3,0,0
"EEF1A1",3,3,0,0
"TUBA1B",3,3,0,0
"GTF2I",3,3,0,0
"PIP4K2B",3,3,0,0
"CCT2",2,0,1,3
"DCD",3,3,0,0
"MRPS15",2,2,2,0
"RPL24",3,3,0,0
"RPL19",3,3,0,0
"SRSF3",3,0,0,3
"TFAM",2,3,1,0
"SLC25A3",3,1,0,2
"HDLBP",3,2,1,0
"CLTC",3,3,0,0
"HNRNPU",3,3,0,0
"FABP5",2,2,2,0
"CAP1",2,0,1,3
"EWSR1",2,0,1,3
"DSG1",3,3,0,0
"EIF4G1",1,2,1,2
"SSBP1",3,0,0,3
"PRDX1",3,3,0,0
"SRSF1",3,0,0,3
"TGM3",3,3,0,0
"GOLGA2",0,2,1,3
"DSC1",3,3,0,0
"RBBP4",3,3,0,0
"AKAP13",2,1,1,2
"SF3A3",2,1,1,2
"AIMP1",3,2,1,0
"ILF3",2,0,1,3
"ACACA",3,3,0,0
"CHAF1B",2,3,1,0
"AIMP2",3,3,0,0
"DDX10",2,3,1,0
"EIF3I",2,3,1,0
"SF3B2",1,3,0,2
"IQGAP2",2,0,1,3
"KRR1",2,1,1,2
"THOC5",3,3,0,0
"PKP1",1,3,0,2
"BLMH",3,3,0,0
"EIF3A",1,2,1,2
"ELOA",3,3,0,0
"PDIA5",2,1,1,2
"RRP1B",3,3,0,0
"CHD4",2,1,1,2
"NUMA1",3,3,0,0
"KARS1",3,3,0,0
"PUM3",1,2,1,2
"DLGAP5",3,3,0,0
"SF3A2",3,1,0,2
"CDSN",3,2,1,0
"MED22",2,1,1,2
"TRIP13",3,3,0,0
"MED1",2,3,1,0
