"Protein","rPAL_detected","Sial_rPAL_detected"
"TMA7B",3,2
"ESYT2",3,3
"MED19",3,3
"IGLC7",2,1
"ARHGAP10",3,3
"HACL2",2,3
"PLEKHG3",3,3
"ANKRD18B",3,3
"PIPSL",3,3
"NBAS",0,2
"TARS3",3,3
"DENND3",3,3
"VWA8",3,3
"SBNO1",3,3
"GTPBP10",3,3
"CTAGE9",3,2
"POTEF",2,1
"CNOT1",3,3
"GOLGA8O",3,3
"RBMY1B",3,3
"ZNF316",3,3
"TCAF2",3,3
"DDTL",2,1
"SMCHD1",3,3
"METTL15",3,3
"UNCX",3,3
"CCDC85C",3,3
"POM121C",3,3
"A2ML1",3,3
"PHF20L1",3,3
"SNRPGP15",3,3
"TTC34",3,3
"MYO1G",3,3
"MYO9A",3,3
"TDRD15",3,3
"NACA",3,3
"C11orf98",3,3
"CNK3/IPCEF1",2,3
"GOLGA8T",3,2
"AGPS",3,3
"KIF2A",3,3
"DDX39A",3,3
"ACOT7",2,2
"MYO1C",3,3
"SNAP23",3,3
"HAX1",2,2
"AIP",3,3
"GTPBP1",3,3
"SMAP",3,3
"RAB27B",3,3
"AP3B1",3,3
"NDUFS8",3,3
"PSMD11",3,3
"PSMD12",3,2
"PSMD9",1,3
"MEN1",3,3
"CBX4",3,3
"SUPT5H",3,3
"TAF4",3,3
"CLIC1",3,3
"EIF3F",3,3
"WWP2",3,2
"CDC7",3,3
"IPO5",3,3
"POLRMT",3,3
"EEF2K",3,1
"SAP18",3,3
"DNM1L",3,3
"RTCA",2,2
"GOLIM4",3,2
"PLOD2",3,3
"EXOC5",3,3
"HMGN4",3,3
"COXFA4",3,3
"PSMD14",3,3
"ZNF593",3,3
"BIN1",2,2
"KPNA3",3,3
"STK25",3,3
"KRIT1",3,3
"PES1",3,3
"EBAG9",2,3
"SDCBP",3,3
"MPHOSPH10",3,3
"NOP56",3,3
"DDX3X",3,3
"KPNA4",3,3
"E2F3",2,3
"PPP6C",3,3
"SCD",3,3
"ARID1A",3,3
"CDK2AP1",2,2
"TRAFD1",3,0
"COX7A2L",2,1
"UBFD1",2,0
"CIT",3,3
"COPE",3,3
"EIF1AY",3,3
"UTY",3,3
"AP3D1",3,3
"ABLIM1",3,3
"DVL1",2,2
"CHD1",3,3
"CHD2",3,3
"ADAM10",3,2
"EI24",2,0
"ITGB1BP1",2,0
"MAP2K7",3,3
"PDCD5",2,3
"PRMT5",3,3
"NHERF1",3,3
"CHEK1",3,3
"TPP1",3,3
"TCERG1",3,3
"TNPO2",3,3
"POLR3A",3,3
"PSMA7",3,3
"SCAMP3",3,3
"MGST3",3,3
"GEMIN2",3,3
"IKBKB",3,3
"TIMM23",3,3
"HAT1",3,3
"UBE2L6",2,0
"UQCRQ",3,3
"MYL12B",3,3
"AURKA",3,3
"PPP1R12A",3,3
"SLC27A2",3,3
"GAK",3,3
"HNRNPDL",3,3
"XPO1",3,3
"ZNF609",3,3
"MAST4",3,2
"SEC16A",3,3
"U2SURP",3,3
"SETD1A",3,3
"PFAS",3,3
"ANKRD28",3,3
"LSM1",3,3
"DEGS1",3,2
"SCAMP1",3,1
"ARPC1B",3,3
"ARPC2",3,3
"ARPC3",3,3
"POLR1C",3,3
"CETN3",3,3
"PFDN6",3,3
"WDR46",3,2
"NKRF",3,3
"CASC3",3,3
"MRPS12",3,3
"RER1",3,3
"SURF4",3,3
"ATXN7",3,3
"SPTLC1",3,3
"SPTLC2",3,2
"OGT",3,3
"POLR3G",3,3
"INPP4B",3,3
"HMGB3",3,3
"PPM1G",3,3
"EIF3D",3,3
"EIF3H",3,3
"HDAC3",0,2
"NVL",3,3
"STX7",2,0
"TNRC18",3,3
"POLR1G",3,3
"NUP42",3,3
"ARPC5",3,3
"POLR2D",2,2
"DDX3Y",3,3
"TAPBP",3,3
"KCNN4",3,3
"DHX15",3,3
"RNMT",3,3
"RRP8",2,2
"PJA2",3,3
"CYB5B",2,1
"PRPF4",3,3
"PHGDH",2,3
"DYNC1LI2",3,1
"PSMD3",3,3
"RBFOX2",3,3
"PAPSS1",1,2
"ZW10",3,3
"SART1",3,3
"DAPK3",3,3
"CCP110",3,3
"MTSS1",3,3
"PPIP5K2",3,3
"MAP3K7",1,2
"EEF1E1",3,3
"WDR62",3,3
"HNRNPR",3,3
"PRPF3",3,3
"TXNL1",3,3
"TPD52L2",3,3
"THAP12",3,3
"FIBP",3,3
"PPIH",3,3
"EPB41L2",3,3
"MED7",3,3
"TGM5",3,3
"DENR",3,3
"TIMM44",3,3
"TRAPPC3",3,2
"NCK2",2,3
"PLRG1",3,3
"PRC1",3,3
"ZNF207",3,3
"GET3",3,1
"BUB3",3,3
"ACTN4",3,3
"BUD23",3,3
"HTATSF1",3,3
"ITM2A",3,3
"SGTA",3,3
"NARS1",3,3
"MYO1B",3,3
"NUDT21",3,3
"LANCL1",3,3
"STRN",3,3
"RRP9",3,3
"AKAP8",3,3
"GTPBP6",3,3
"IDH3B",3,3
"AHCYL1",3,3
"RAD21",3,3
"DHX16",3,3
"ZNRD2",3,3
"GMFG",3,3
"MED14",3,3
"SMARCA5",3,3
"ZNF292",3,3
"ZFC3H1",3,3
"AQR",3,3
"OPA1",3,3
"PIP5K1C",3,3
"KDM1A",3,3
"TBC1D4",3,3
"FADS1",3,3
"PPL",1,3
"ACSL4",3,2
"STX10",2,1
"SYNCRIP",3,3
"CDC40",3,3
"NEMF",3,3
"GMDS",3,3
"NMT2",3,3
"CCNT1",3,3
"PLOD3",3,2
"EIF4E2",3,2
"DIAPH1",3,3
"EXOC3",3,3
"JAK2",2,3
"KPNA6",3,3
"LPXN",3,3
"CTNND1",3,3
"CYTIP",3,3
"HPGDS",3,3
"DPM1",3,3
"USO1",2,3
"MRPS14",3,3
"TOM1",3,2
"PQBP1",3,3
"DKC1",3,3
"EIF5B",3,3
"EDF1",2,3
"KIN",3,3
"DIAPH2",3,1
"DNAJA2",3,3
"BRD4",3,3
"CUTA",2,2
"TBL1X",3,3
"NBN",3,3
"KIF21B",2,1
"SRGAP2",3,3
"CBFA2T3",2,1
"WDR1",3,3
"ROCK2",3,3
"CLASP2",3,3
"CPNE3",3,3
"RNF40",3,3
"PHF2",3,3
"ZC3H11A",3,3
"CLUH",3,3
"DNAJC13",3,3
"CNOT3",3,3
"ANKRD17",3,3
"SIN3B",3,3
"DNAJB6",3,3
"GGCT",3,3
"NDUFS7",3,3
"NDUFS2",3,3
"DUSP11",3,3
"NIPSNAP2",3,3
"HMMR",3,3
"PDCD6",3,3
"ALOX12B",0,2
"TBCA",3,3
"ATP6V1G1",3,3
"VPS4B",3,2
"MACROH2A1",3,3
"SH3BGRL",2,1
"FLNB",3,3
"NCOR1",3,3
"SLC43A1",3,0
"CS",3,3
"MRPL33",3,3
"SEC22B",3,3
"PRPF40A",3,3
"TACC1",3,1
"PMPCB",3,3
"MED24",3,3
"PSIP1",3,3
"ERLIN1",3,3
"SUPT3H",3,3
"NDUFS3",3,3
"SRSF10",3,3
"ECI2",3,2
"TADA3",3,3
"TAF5L",3,3
"EED",3,3
"BANF1",3,2
"SF3B1",3,3
"CSDE1",3,3
"SKAP2",3,3
"PRKRA",3,3
"MED6",3,3
"MYCBP2",3,3
"NPM3",3,3
"LYPLA1",3,3
"ERAL1",3,3
"SERPINB7",3,3
"SNRNP200",3,3
"TRMU",3,3
"TIPRL",3,3
"RPS6KA4",3,3
"SURF6",3,3
"UTP20",3,3
"NUP155",3,3
"WDHD1",3,3
"SLC25A12",3,3
"GRAP2",3,3
"RNASEH2A",3,3
"CDC123",3,3
"POP7",3,3
"RPP40",3,3
"EIF3G",3,3
"EIF3J",3,3
"IDH1",3,3
"CCNK",3,3
"ARL6IP5",3,3
"DYSF",3,3
"PIAS1",3,3
"BCAS2",3,3
"DNAJC8",3,3
"SMNDC1",3,3
"ATP5PD",3,3
"TRIO",3,3
"ATP5MG",3,3
"SASH3",3,3
"GLRX3",3,3
"RSL1D1",3,3
"CLPX",3,3
"CIAO1",3,2
"RGS20",3,3
"SRP72",3,3
"RECQL4",3,3
"RECQL5",3,3
"URI1",3,3
"MTA2",3,3
"STK10",3,3
"TOMM70",3,3
"TOX4",3,3
"SUPT7L",3,3
"FCHSD2",1,3
"UFL1",3,3
"FARP2",3,3
"UBXN7",3,1
"TOX",3,3
"PLPBP",3,3
"ERLIN2",3,3
"PRPF6",3,3
"PCF11",3,3
"FRYL",3,3
"GLS",3,2
"HAUS5",3,3
"KDM4B",3,3
"AP2A2",3,3
"SEC31A",3,3
"SLITRK5",2,2
"HEXIM1",3,3
"RPP14",3,3
"UBR5",3,3
"SCAF4",3,3
"SNUPN",3,3
"ELP1",3,3
"NDUFB4",3,3
"LETM1",3,3
"STBD1",3,2
"LUC7L3",3,3
"KIF4A",3,3
"MBD4",1,2
"SBF1",3,3
"GOSR1",3,3
"KAT7",3,3
"ATE1",3,3
"EPM2A",3,3
"VAPB",3,1
"SNAPIN",3,3
"NDUFA10",3,3
"CELF2",3,3
"PGLS",3,3
"SMC2",3,3
"FARS2",3,3
"ZBTB7A",3,3
"IPO7",3,3
"SLU7",3,3
"CD2BP2",3,3
"MED26",3,3
"BAG4",3,3
"AHSA1",3,3
"PARN",3,3
"FMNL1",3,3
"SGPL1",3,3
"NSA2",3,3
"SEC24B",3,3
"METTL18",3,3
"ETHE1",3,2
"ACSL3",3,3
"POLR1A",3,3
"PCNT",3,3
"YEATS4",3,3
"ZBTB11",3,3
"CPSF4",3,3
"ASMTL",3,3
"CDS2",2,2
"POP4",3,3
"HERC2",3,3
"SNAP29",3,1
"OXSR1",3,3
"HSPA4L",3,3
"PTBP3",3,3
"LSM8",3,3
"AP2A1",3,3
"WIZ",3,3
"STAU1",3,3
"TTC4",3,3
"CAVIN2",3,3
"BAG2",3,3
"MAP4K4",3,3
"AIFM1",3,3
"LATS1",2,3
"FADS2",3,3
"GPANK1",3,3
"SYF2",3,3
"MBD3",3,3
"TOP3B",3,3
"NDUFB10",2,3
"CLPTM1",3,3
"TOMM40",3,3
"PEX11B",3,3
"ACTL6A",3,3
"NSD2",3,3
"LDHA",3,3
"GLUD1",3,3
"DHFR",3,3
"CYB5R3",3,3
"GSR",3,3
"MT-CO2",3,3
"SOD1",3,3
"PNP",3,3
"HPRT1",3,3
"GOT2",3,3
"PGK1",3,3
"ADA",3,3
"SERPINC1",2,1
"A2M",3,3
"CSTA",3,3
"JCHAIN",2,2
"IGKC",3,3
"IGHG1",1,3
"IGHA1",3,3
"HLA-B",3,3
"HLA-H",3,3
"HBD",2,3
"COL1A1",2,3
"LMNA",3,3
"ALB",3,3
"AFP",2,2
"TFRC",3,3
"LTF",3,3
"FTL",1,3
"VTN",3,3
"CAT",3,3
"RAF1",3,3
"ALDOA",3,3
"CSTB",3,3
"ANXA1",3,3
"OAT",3,3
"TUBB4A",3,1
"GAPDH",3,3
"HLA-A",3,3
"CAPNS1",3,3
"HSPB1",3,3
"TYMS",3,3
"RPN1",3,3
"RPN2",3,3
"GNAI2",3,3
"ATP1A1",3,3
"ARG1",3,3
"ITGB2",3,3
"S100A8",3,3
"HMGN1",3,3
"SLC25A5",3,3
"ISG15",3,3
"PCCA",3,3
"PCCB",3,3
"EIF2S1",3,3
"HMGN2",3,3
"RPLP1",3,3
"RPLP2",3,3
"RPLP0",3,3
"POLR3D",3,3
"SSB",3,3
"ITGB1",2,3
"UROD",2,2
"GSN",3,3
"RB1",3,3
"PTMA",3,3
"CDK1",3,3
"ATP5F1B",3,3
"S100A9",3,3
"EIF4E",3,3
"ENO1",3,3
"PYGL",3,2
"GPI",3,3
"POLB",3,3
"NPM1",3,3
"TPM3",3,3
"LDHB",3,3
"GPX1",3,3
"P4HB",3,3
"CTSD",3,3
"ANXA2",3,3
"CAPN1",3,3
"TUBB",3,3
"PRSS1",3,3
"HEXB",2,1
"PFN1",3,3
"APRT",3,3
"EPRS1",3,3
"HSP90AA1",3,3
"HNRNPC",3,3
"YES1",3,3
"LYN",3,3
"FH",3,3
"ERCC1",2,2
"SP1",3,3
"ZFY",3,2
"ANXA6",2,3
"ABCB1",3,3
"SLC3A2",3,3
"HSP90AB1",3,3
"SRPRA",3,3
"ITGA2B",3,3
"PDHA1",3,3
"PLEK",3,3
"CYC1",3,3
"PTPRC",3,3
"SNRPB2",3,3
"SNRNP70",3,3
"RPS17",3,3
"GNAI3",3,2
"ANXA5",2,0
"RPSA",3,3
"MRPL3",3,3
"SNRPA",3,3
"SRP19",3,3
"GSTP1",3,3
"SNRPC",3,3
"LGALS1",3,3
"QDPR",1,2
"HMGB1",3,3
"GSTM1",3,3
"TPM1",3,3
"CLTA",3,3
"ANXA4",2,3
"CNP",3,3
"DLD",3,3
"HNRNPA1",3,3
"SNRPA1",3,3
"FGR",3,3
"PARP1",3,3
"POLA1",3,3
"IFIT1",3,2
"LTA4H",2,3
"ALDOC",3,3
"H2AZ1",3,3
"H2AC11",3,3
"TFPT",3,3
"FBXO45",3,2
"POLR2M",3,3
"POTEI",3,3
"SP9",3,3
"HSPA1A",3,3
"CALM1",3,3
"ERCC6",3,2
"POLR1D",3,3
"GATD3",2,1
"GLI2",3,3
"ZBTB48",3,3
"GLI4",3,3
"RO60",3,3
"HLA-C",2,2
"ARAF",2,3
"H1-4",3,3
"DLAT",3,3
"TXN",3,3
"MGST1",3,3
"PRKAR1A",3,3
"TFPI",3,3
"ESD",1,2
"HSPD1",3,3
"CLU",2,3
"HSPA5",3,3
"HSPA8",3,3
"SLC2A1",3,3
"EPB41",2,3
"UMPS",3,3
"PDHB",3,3
"DBT",3,3
"PYGB",3,3
"RALA",3,3
"RALB",3,3
"BCR",3,3
"LAMP1",3,1
"ERG",3,3
"ACADM",3,3
"FGFR1",2,1
"TOP1",3,3
"TOP2A",3,3
"G6PD",3,3
"PC",3,3
"MTHFD1",3,3
"ADH5",1,2
"PRPS2",3,3
"PABPC1",3,3
"PCNA",3,3
"SLC25A4",2,1
