"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOCC_COATED_VESICLE",1.45390456864178e-13,6.53766994230054e-11,0.943632225232838,0.67619073965459,2.53774726863409,91,"AFTPH;EPS15;AAK1;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;NUMB;TMED2;STON2;AP1B1;NECAP2;RAB35;NECAP1;CLTC;VPS33A;SEC13;CLTA;SCAMP1;SEC16A;AP3M2","GOCC","rPAL"
"GOCC_CLATHRIN_COATED_VESICLE",2.10552977207747e-13,6.53766994230054e-11,0.943632225232838,0.771768850125385,2.64491232561544,54,"AFTPH;EPS15;AAK1;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;NUMB;STON2;AP1B1;NECAP2;RAB35;NECAP1;CLTC;VPS33A;CLTA;SCAMP1;AP3M2","GOCC","rPAL"
"GOCC_CLATHRIN_COATED_VESICLE_MEMBRANE",8.4327258460827e-13,1.74557425013912e-10,0.921426003494898,0.863866232334068,2.60260059548323,31,"AFTPH;EPS15;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;NECAP2;RAB35;NECAP1;CLTC","GOCC","rPAL"
"GOCC_COATED_VESICLE_MEMBRANE",1.31960705247682e-12,2.04868994897027e-10,0.910119734774459,0.743886621954744,2.59675520308829,61,"AFTPH;EPS15;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;TMED2;STON2;AP1B1;NECAP2;RAB35;NECAP1;CLTC;SEC13;CLTA;SEC16A;AP3M2","GOCC","rPAL"
"GOCC_CLATHRIN_COAT",3.7475555751405e-12,4.6544640243245e-10,0.887074988399873,0.889907837137703,2.58019506581732,24,"AFTPH;EPS15;EPS15L1;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;NECAP2;NECAP1;CLTC;VPS33A;CLTA;AP3M2","GOCC","rPAL"
"GOCC_VESICLE_COAT",5.409480431693e-12,5.59881224680226e-10,0.887074988399873,0.822895587279329,2.5986469119152,37,"AFTPH;EPS15;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;NECAP2;NECAP1;CLTC;SEC13;CLTA;AP3M2","GOCC","rPAL"
"GOCC_MEMBRANE_COAT",1.46354448210933e-11,1.29837303341413e-09,0.863415391606693,0.773922697830007,2.55426467284636,47,"AFTPH;EPS15;EPS15L1;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;NECAP2;NECAP1;CLTC;VPS33A;SEC13;CLTA;AP3M2","GOCC","rPAL"
"GOCC_CLATHRIN_COATED_PIT",1.85711599130814e-11,1.44158628825295e-09,0.863415391606693,0.85162572936153,2.54896670051428,29,"EPS15;AAK1;EPS15L1;AP2S1;AP2A2;AP2B1;REPS1;AP2M1;AP2A1;NUMB;STON2;NECAP2;RAB35;NECAP1;CLTC","GOCC","rPAL"
"GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX",9.58462171823602e-11,6.61338898558286e-09,0.839088935621274,-0.969752281616688,-2.18525901807164,11,"KARS1;RARS1;QARS1;AIMP1;IARS1;DARS1;EEF1E1;MARS1;EPRS1;AIMP2;LARS1","GOCC","Sial_rPAL"
"GOCC_CLATHRIN_VESICLE_COAT",2.05536892696822e-10,1.27638410364727e-08,0.826657301178302,0.897671233468922,2.47345615306693,20,"AFTPH;EPS15;CLINT1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;NECAP2;NECAP1;CLTC;CLTA;AP3M2","GOCC","rPAL"
"GOCC_MITOCHONDRIAL_MATRIX",1.73925322874548e-09,9.81887504591766e-08,0.788186810800237,-0.511090057473157,-2.00406870399866,236,"NARS2;KARS1;QARS1;DBT;PC;DDX28;MRPL11;PCCA;PUS1;MCCC2;PCCB;HADHA;FARS2;POLDIP2;LRRC59;DHX30;HADHB;MCCC1;ARL2;SARS2;GRSF1;MTG2;MRM1;EXOG;MRPL54;MRPL9;MRPL46;TFAM;TRMT10C;METTL17;MRM3;MRPL1;GCDH;GTPBP10;MRPL40;ATP5F1C;TEFM;MTPAP;MTIF2;PAM16;METTL8;TFB1M;MRPL45;TRMT5;CHCHD1;PTPN1;NIPSNAP2;HSD17B10;GADD45GIP1;MRPL48;NSUN4;NDUFS8","GOCC","Sial_rPAL"
"GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE",1.98081575472652e-09,1.02507215307097e-07,0.774939030136436,0.948953326667509,2.28047308082058,12,"EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;RAB35;CLTC","GOCC","rPAL"
"GOCC_CLATHRIN_ADAPTOR_COMPLEX",2.76589134085851e-09,1.32124501744087e-07,0.774939030136436,0.921244470329153,2.35449001295584,15,"AFTPH;EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1","GOCC","rPAL"
"GOCC_AP_2_ADAPTOR_COMPLEX",3.18614196745859e-09,1.41328154413699e-07,0.774939030136436,0.976777704097691,2.11007931761007,8,"EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2","GOCC","rPAL"
"GOCC_VESICLE_MEMBRANE",1.41287875735367e-08,5.84931805544421e-07,0.747739663149885,0.433467595654573,1.89897095347374,266,"AFTPH;EPS15;CLINT1;AP2S1;AP2A2;EEA1;STX7;AP2B1;AP2M1;AP2A1;NUMB;TMED2;STON2;AP1B1;C2CD5;RIPK1;NECAP2;RAB35;NECAP1;PLD3;BST2;SYPL1;WDR83;CLTC;CD109;LYN;DTNBP1;VPS33A;ITPR1;MGST1;MKLN1;GNPNAT1;ARHGAP10;SEC13;CLTA;ANXA5;STX10;USP8;SCAMP1;SEC16A;AP3M2;SNAP29;RAB11FIP1;VTA1;SBF2;MCTP2;MTMR2;ATAD3B;VAPA;CHMP6;RAB6A;TMEM165;IQGAP1;OSBPL9;TBC1D24;VPS4A;B2M;ACAP1","GOCC","rPAL"
"GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX",2.82648408381519e-08,1.07614739421234e-06,0.73376198835648,0.909337492801702,2.2789897769328,14,"EIF3C;EIF3A;EIF3M;EIF3B;EIF3F;EIF3I;EIF3L;EIF3G;EIF3E;EIF3H;EIF3D;EIF3K","GOCC","rPAL"
"GOCC_SWI_SNF_COMPLEX",2.94597515323829e-08,1.07614739421234e-06,0.73376198835648,0.838423721942905,2.358528729396,22,"SMARCA2;BICRA;SMARCD1;ARID2;PBRM1;BRD9;SMARCC2;SMARCD2;BICRAL;ACTL6A;SMARCB1;SMARCE1;SMARCA4;SMARCC1","GOCC","rPAL"
"GOCC_CYTOPLASMIC_STRESS_GRANULE",4.52304891157675e-08,1.56045187449398e-06,0.719512826338911,-0.678266111892601,-2.23719679836428,63,"EIF2S1;IGF2BP2;CIRBP;SSB;LSM14A;YTHDF1;TRIM25;DHX36;DDX6;NXF1;PRRC2C;RC3H1;CAPRIN1;G3BP2;RC3H2;YBX1;STAU1;YTHDF2;MBNL1","GOCC","Sial_rPAL"
"GOCC_ENDOSOME_MEMBRANE",1.1474673480949e-07,3.75040643772071e-06,0.704975715167238,0.529338805013681,2.07968542008004,119,"EPS15;AP2S1;AP2A2;EEA1;STX7;AP2B1;AP2M1;AP2A1;NUMB;RIPK1;RAB35;PLD3;WDR83;CLTC;DTNBP1;VPS33A;MKLN1;GNPNAT1;ARHGAP10;CLTA;USP8;SCAMP1;VTA1;SBF2;MTMR2;CHMP6;TMEM165;OSBPL9;VPS4A;B2M;ACAP1","GOCC","rPAL"
"GOCC_CLATHRIN_COAT_OF_COATED_PIT",2.25340935886644e-07,6.9968360592803e-06,0.690132458796796,0.915575089375856,2.20026031430216,12,"EPS15;EPS15L1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;CLTC;CLTA","GOCC","rPAL"
"GOCC_AP_TYPE_MEMBRANE_COAT_ADAPTOR_COMPLEX",2.36668237090824e-07,6.99861786825721e-06,0.690132458796796,0.82360144626325,2.29463775092794,21,"AFTPH;EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;AP1B1;VPS33A","GOCC","rPAL"
"GOCC_TRANSPORT_VESICLE_MEMBRANE",4.26518952853605e-07,1.20394668055495e-05,0.674962860011025,0.65030448129732,2.24645542146825,55,"AFTPH;AP2M1;AP2A1;TMED2;STON2;AP1B1;SYPL1;CLTC;DTNBP1;ITPR1;SEC13;CLTA;STX10;SCAMP1;SEC16A;AP3M2;MCTP2","GOCC","rPAL"
"GOCC_CLATHRIN_COATED_ENDOCYTIC_VESICLE",5.53911664625927e-07,1.49556149449e-05,0.659444398037935,0.875504636532494,2.23758946664373,15,"EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2;RAB35;CLTC;CLTA","GOCC","rPAL"
