"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOMF_LIGASE_ACTIVITY",2.9121414374185e-17,2.16663322943936e-14,1.06720998682811,-0.777592536770707,-2.64132541475823,74,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;PC;EPRS1;PCCA;MCCC2;TRIM25;PCCB;TARS3;FARS2;ACACA;ATP5MF;MCCC1;SARS2;NARS1;LARS1","GOMF","Sial_rPAL"
"GOMF_LIGASE_ACTIVITY_FORMING_CARBON_OXYGEN_BONDS",2.72865330381741e-10,1.01505902902008e-07,0.814035837847908,-0.833429091416509,-2.38235445847323,31,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;EPRS1;TARS3;FARS2;SARS2;NARS1;LARS1","GOMF","Sial_rPAL"
"GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA",1.6137537985046e-09,4.0021094202914e-07,0.788186810800237,-0.657190777691236,-2.25122462698023,83,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;EPRS1;PUS1;TRMT10A;TARS3;FARS2;TRMT61A;SARS2;NARS1;LARS1;TRMT1;ANKZF1;NSUN2;DUS3L;PUS3;DUS2;TRMT10C;ADAR;TRMT1L;TRPT1;FARSA;ADARB1;PUSL1;MTFMT;METTL8;DUS1L;TRMT5","GOMF","Sial_rPAL"
"GOMF_TRNA_BINDING",7.30858345668637e-09,1.35939652294367e-06,0.761460801445585,-0.730613256522846,-2.31372424632067,50,"KARS1;RARS1;AIMP1;IARS1;MARS1;SSB;PUS1;EIF2S3;TRMT10A;FARS2;SARS2;TRMT1;NSUN2;IFIT5;GTPBP1;DUS2;TRMT10C;EIF2S3B;TRMT1L;FARSA;IGHMBP2","GOMF","Sial_rPAL"
"GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA",3.93909022219015e-08,5.86136625061894e-06,0.719512826338911,-0.481080221485795,-1.87639146091675,245,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;YTHDC2;EPRS1;DDX28;PUS1;TRMT10A;DHX36;TARS3;DDX6;FARS2;DHX30;TRMT61A;DDX50;SARS2;NARS1;DDX5;MRM1;EXOG;LARS1;TRMT1;ANKZF1;NSUN2;DUS3L;DDX21;MARF1;SND1;PUS3;DDX51;DUS2;EMG1;TRMT10C;DIMT1;XRN1;ADAR;ALKBH3;DHX9;NSUN5;TRMT1L;TRPT1;TOP3B;POLR3H;MRM3;POLR3A;FARSA;IGHMBP2;TOE1;ADARB1;PUSL1;FEN1;MTFMT;DROSHA;ERI1;BUD23;DDX49;DHX57;DHX33;METTL8;DUS1L;TUT7;TFB1M;TRMT5","GOMF","Sial_rPAL"
"GOMF_LIGASE_ACTIVITY_FORMING_CARBON_CARBON_BONDS",1.965547085909e-07,2.43727838652716e-05,0.690132458796796,-0.979947916666667,-1.9072345386046,6,"PC;PCCA;MCCC2;PCCB;ACACA;MCCC1","GOMF","Sial_rPAL"
"GOMF_MRNA_BINDING",6.73546681039253e-07,7.15883900990292e-05,0.659444398037935,-0.458444190842075,-1.7881618755336,244,"IGF2BP2;CIRBP;SSB;LSM14A;HNRNPD;ALYREF;YTHDF1;SYNCRIP;EIF2S2;DHX36;HNRNPR;DDX6;LSM14B;FUS;NXF1;HNRNPU;HNRNPAB;RC3H1;CAPRIN1;RBMS1;YBX3;G3BP2;ILF3;NCL;SLC4A1AP;DDX50;RC3H2;GRSF1;YBX1;STAU1;DDX5;SNRNP70;YTHDF2;LUC7L;SNRPC;RBM3;DDX21;CPSF7;PTBP1;RBM42;HNRNPA0;RBM19;PURB;HNRNPA1;DHX9;SLBP;RBMX;DAZAP1;RSL1D1;SRSF2;MRPL1;SCAF8;PCF11;RBM14;LUC7L2;ADARB1;MSI2;MECP2;SF3B1;PTBP3;DHX33;KHDRBS1;HNRNPA2B1;POLDIP3;RPS7;LUC7L3","GOMF","Sial_rPAL"
"GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID",1.00108171495526e-06,9.31005994908388e-05,0.643551836150722,-0.418575095058442,-1.6994331603926,357,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;YTHDC2;EPRS1;DDX28;PUS1;TRMT10A;DHX36;TARS3;DDX6;FARS2;DHX30;TRMT61A;DDX50;SARS2;NARS1;DDX5;MRM1;EXOG;LARS1;TRMT1;ANKZF1;NSUN2;DUS3L;HMGA1;DDX21;MARF1;SND1;PUS3;DDX51;DUS2;PDS5B;EMG1;TRMT10C;DIMT1;XRN1;ADAR;ALKBH3;DHX9;NSUN5;TRMT1L;TRPT1;TOP3B;POLR3H;MRM3;POLR3A;FARSA;IGHMBP2;TOE1;ADARB1;PUSL1;FEN1;HMGA2;MTFMT;DROSHA;ERI1;TEFM;BUD23;DDX49;RECQL4;DHX57;DHX33;METTL8;DUS1L;TUT7;TFB1M;TRMT5;TERF2;ALKBH8;METTL16;XRCC5;SPOUT1;POLR1B;POLR3B;REXO1;NSUN4;DNMT1;TYW3;POLR2F;SHPRH;TRIR;MEPCE;PNKP;TRMT2A;WAPL;MTRFR;LRRC47;MBD4;POLR3F;POLR2K","GOMF","Sial_rPAL"
"GOMF_CARGO_ADAPTOR_ACTIVITY",4.01955822879629e-06,0.000299055132222444,0.610526878385931,0.888849616300313,2.13145490317237,11,"AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2","GOMF","rPAL"
"GOMF_CLATHRIN_ADAPTOR_ACTIVITY",4.01955822879629e-06,0.000299055132222444,0.610526878385931,0.888849616300313,2.13145490317237,11,"AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;STON2","GOMF","rPAL"
