"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",9.58733308646208e-10,3.95956856470884e-07,0.788186810800237,-0.837456294030138,-2.40996626793602,30,"NARS2;KARS1;RARS1;QARS1;IARS1;DARS1;MARS1;EPRS1;TARS3;FARS2;SARS2;NARS1;LARS1","KEGG","Sial_rPAL"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",3.69984727574675e-07,7.64018462441703e-05,0.674962860011025,0.580579550064571,2.14001512335865,78,"RPL4;RPLP0;RPL12;RPL35A;RPL10A;RPL34;RPSA;RPL7A;RPL7;RPL6;RPL30;RPS3;RPS16;RPL27A;RPL5;RPL27;RPS5;RPS20;RPL8;RPL14;RPS12;RPL36;RPLP1;RPL32;RPL18;RPL23;RPL18A;RPS10","KEGG","rPAL"
"KEGG_RIBOSOME",1.04015063095539e-06,0.000143194070194858,0.643551836150722,0.562272393186011,2.09779248077645,83,"RPL4;RPLP0;RPL12;RPL35A;RPL10A;RPL34;RPSA;RPL7A;RPL7;RPL6;RPL30;RPS3;RPS16;RPL27A;RPL5;RPL27;RPS5;RPS20;RPL8;RPL14;RPS12;RPL36;RPLP1;RPL32;RPL18;RPL23;RPL18A;RPS10","KEGG","rPAL"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",1.57150286984303e-05,0.00162257671311292,0.575610261071129,-0.767617926909418,-2.12103494503345,24,"DBT;PCCA;MCCC2;PCCB;HADHA;HADHB;MCCC1","KEGG","Sial_rPAL"
"KEGG_MEDICUS_REFERENCE_ADRB3_UCP1_SIGNALING_PATHWAY",2.18046713019537e-05,0.00180106584954137,0.575610261071129,0.829183282234019,2.17105791454847,15,"SMARCA2;SMARCD1;SMARCC2;SMARCD2;ACTL6A;SMARCB1;SMARCE1;SMARCA4;SMARCC1","KEGG","rPAL"
"KEGG_PROPANOATE_METABOLISM",0.000140258061545496,0.0096544299030483,0.518848077743792,-0.805996398955123,-2.0259470966204,15,"PCCA;PCCB;HADHA;ACACA","KEGG","Sial_rPAL"
"KEGG_ENDOCYTOSIS",0.000365224621494968,0.0215482526682031,0.49849310876659,0.514040907767313,1.84238323187546,69,"EPS15;AP2S1;AP2A2;EEA1;AP2B1;AP2M1;AP2A1;CLTC;PSD4;CLTA;USP8;RAB11FIP1;VTA1;CHMP6;VPS4A;ACAP1","KEGG","rPAL"
"KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119",0.00642295890011918,0.331585253218653,0.407017918923954,-0.657794654739774,-1.75765498130772,20,"JARID2;BMI1;RNF2;SUZ12;CBX2;PHC2;MTF2;RING1;PHF19;EED;CBX4;EZH2;ELOC","KEGG","Sial_rPAL"
"KEGG_PYRUVATE_METABOLISM",0.0120296985563309,0.552029500418294,0.380730400722792,-0.634962061092049,-1.69664533084625,20,"PC;ACACA","KEGG","Sial_rPAL"
"KEGG_RNA_DEGRADATION",0.0189162034549639,0.715847021551131,0.352487857583619,0.445261471989784,1.48254817895611,46,"EXOSC10;EXOSC4;EXOSC8;EXOSC7;EXOSC9;DCP1A;EXOSC5;EDC4;CNOT7;EXOSC2;C1D;EDC3;EXOSC3;EXOSC6","KEGG","rPAL"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",0.0190661434311439,0.715847021551131,0.352487857583619,-0.752348884262381,-1.58746444734164,8,"IARS1;LARS1","KEGG","Sial_rPAL"
"KEGG_MEDICUS_REFERENCE_MICROTUBULE_RHOA_SIGNALING_PATHWAY",0.0241632340252796,0.831617971036707,0.352487857583619,0.707310467057926,1.65285868291087,10,"ARHGEF2;TUBB2A;TUBB4A","KEGG","rPAL"
"KEGG_MEDICUS_REFERENCE_BLOCKING_UBIQUITINATION_OF_H2AK119_BY_CK2",0.032546899901595,0.928539940045847,0.321775918075361,-0.799727842199671,-1.57426090658677,6,"CSNK2A1;CSNK2A2;RNF2;RING1;CSNK2B","KEGG","Sial_rPAL"
"KEGG_MEDICUS_REFERENCE_GLYCOGEN_DEGRADATION",0.0352267133751391,0.928539940045847,0.321775918075361,0.823158680189063,1.54656035084743,5,"AGL","KEGG","rPAL"
"KEGG_HUNTINGTONS_DISEASE",0.0358005766201096,0.928539940045847,0.321775918075361,0.373307431039352,1.39107193873045,81,"AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;CLTC;ITPR1;CLTA;SIN3A;POLR2B;POLR2C;CREBBP;MT-CO2;VDAC2;PLCB4;SLC25A4;CASP3;CYCS;POLR2A;POLR2J;NDUFB10;REST","KEGG","rPAL"
"KEGG_MISMATCH_REPAIR",0.0365284005935575,0.928539940045847,0.321775918075361,0.588036471102422,1.58681595322476,18,"RPA1;SSBP1;RPA2;RFC4;LIG1;RFC2;RFC1;RFC5","KEGG","rPAL"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0400410820402666,0.928539940045847,0.321775918075361,0.708406566168617,1.52381199778217,8,"CDK5;TUBB2A;TUBB4A","KEGG","rPAL"
"KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",0.0433068439217354,0.928539940045847,0.321775918075361,0.725860024067701,1.51839428646595,7,"CDK5;TUBB2A;TUBB4A","KEGG","rPAL"
