"","rPAL_aa_1 MaxLFQ Intensity","rPAL_aa_2 MaxLFQ Intensity","rPAL_aa_3 MaxLFQ Intensity","Sial_aa_1 MaxLFQ Intensity","Sial_aa_2 MaxLFQ Intensity","Sial_aa_3 MaxLFQ Intensity"
"TMA7B",12.4394552825657,14.3806111576326,12.586625665998,13.6859734550497,13.5219751727994,13.2808780404924
"ESYT2",19.8751846384358,19.9269045960347,19.8749467478608,19.6969278054033,19.8500493010175,19.9097042343739
"MED19",17.3989492279441,17.6349370819987,17.4759016163305,16.9157558119784,17.5248917409799,17.3347117508886
"IGLC7",15.4431514123979,15.026687907558,15.4972785673174,12.4043674191427,9.57686140644058,15.3957426390961
"ARHGAP10",15.8557387913813,15.7371446783537,15.8003558805082,15.4883707118526,15.5294633145674,15.3806352359203
"HACL2",14.2879227637231,14.4765301631649,14.0491014040626,14.3311065134024,14.3735269594828,13.9743524744237
"PLEKHG3",14.8527214398386,15.0462888880208,14.5175801395298,15.445910107527,14.6165495329644,14.7286136173957
"ANKRD18B",17.5685532880041,17.2591938560434,17.3866290161599,17.5764950494616,17.5202093658097,17.4756566527763
"PIPSL",14.9359764754871,14.6780125767575,14.7337795907711,15.2961781134221,14.666337249919,14.8744006574407
"TARS3",14.9904813452223,14.9718852823982,15.2014794884618,15.9540900495116,16.0945420650133,16.0074587665636
"DENND3",16.5704011132305,16.7584381556941,16.6177240006814,16.3267479207277,16.7014730473338,16.6328567864907
"VWA8",17.176676897766,17.5390434448236,16.7812065215077,16.7323734837342,17.2995617609089,16.1872370381216
"SBNO1",15.7809929477643,16.21629437707,15.8496266197337,16.1570730286479,16.1867777730874,16.2325018741281
"GTPBP10",14.1215621702223,14.6523002191858,13.7400828269461,14.8646951872584,15.2367762354203,15.1234607333539
"CTAGE9",13.4521042757279,14.1666942645155,12.9118287190053,14.0674773855029,13.6537574578126,13.3876506434908
"POTEF",12.0347539206324,11.8859192799529,14.4216398334751,11.9569771164846,13.580184475527,11.3999431248773
"CNOT1",17.6481020119027,17.7756238471111,17.7888591343641,17.3445439365046,17.6888820329788,17.5726913457863
"GOLGA8O",16.0554353917106,16.2934323118708,16.1211275403615,15.7807491542535,15.7451494975956,15.8385297544664
"RBMY1B",16.3416624948964,16.0070590314223,16.2290715156754,15.959831656665,15.8596594298885,15.9514121747221
"ZNF316",15.2855550202658,14.8001552621816,14.9673173702218,15.026046715926,14.866364311902,15.272064754853
"TCAF2",16.526065754195,16.8371260806986,16.6708237148293,15.5414946329233,15.7608870222491,15.7966383338583
"DDTL",13.4915308334003,15.1326360803582,12.905923214829,14.3391509585695,12.7703587665377,12.6225955338275
"SMCHD1",17.2678559795882,17.1898566926088,17.1307915430162,17.2566200279972,17.2295792861788,17.3389679645836
"METTL15",13.8947317597534,14.3828825538132,14.3368379064646,13.5631816115763,13.9209147866022,14.7085105850635
"UNCX",15.859540124655,15.9923238830627,15.9156681769428,16.1402310527049,16.5980247221973,15.6048333784427
"CCDC85C",14.6813662454128,14.7373065032985,13.9760450357151,14.7163096490179,13.850584676672,13.9192104557614
"POM121C",16.817358318429,16.6543280693202,18.229653446276,16.450715422296,16.4804523611619,17.3393768192817
"A2ML1",15.9558766728669,15.9540950264039,15.6378062379711,16.1586860098752,15.736654206475,16.0508132843203
"PHF20L1",16.2620904397393,16.1778146521287,16.3560860228973,15.9430277052257,16.3171380544201,16.2254669209383
"SNRPGP15",18.0956775870848,17.9739504524314,18.5380956983899,18.6511941844827,18.6291624944056,18.8966097185356
"TTC34",15.4064671146184,15.6169587647785,15.0762298007238,14.8390952570441,14.3504881998241,14.7287189366665
"MYO1G",20.3726444671723,20.398687126831,20.4378927504969,20.3185834096428,20.2869904005642,20.096251757368
"MYO9A",17.2493808955228,16.8016422591368,16.8138792460633,16.8671078536377,17.1061763502499,16.912579699751
"TDRD15",15.1344282054139,15.626540549812,15.1984024506243,14.9089555710806,15.2650106228701,15.388502834697
"NACA",18.5524860625806,19.1947406257428,18.5628761327775,18.6676436650873,18.6183944645837,18.7920772588402
"C11orf98",21.2145761476905,21.2285094077747,21.3465062667216,21.3136204360426,21.2644881304468,21.3228205875895
"CNK3/IPCEF1",13.4996925676801,15.0333581269836,14.3227019202943,15.265777135476,14.8997119351755,15.0539682931561
"GOLGA8T",15.0322205414903,15.9116928690562,15.1221195740904,14.4134015646837,14.7510506634027,14.0966855097653
"AGPS",14.4816054618984,15.3452853405811,14.5092806630089,14.6012057614752,14.5414741841034,14.4554216243432
"KIF2A",18.8693470155407,18.7239312644358,18.8249710740173,18.823959222177,18.8408164253494,18.8176512974855
"DDX39A",16.9891337950282,17.5331165399878,16.7061128457425,16.9903265527924,16.8299950725663,16.8914665364623
"ACOT7",15.2039491153846,15.8029783665294,15.2098683549227,14.0657930845979,14.5296400371932,14.376283463735
"MYO1C",16.7886593320666,16.9590564832724,16.7465161580962,16.8397457674256,16.8750372817306,16.7076474858776
"SNAP23",15.9394711596452,16.2831616220668,15.9523939522587,16.5264883883174,16.2096186142009,16.3771359530595
"HAX1",15.5449895397134,15.8037926481357,14.8195383430022,14.884821064135,15.3211553275846,15.1540189188643
"AIP",15.1345056165319,16.3283672630854,15.0563352169683,15.3731804451765,15.3950607906542,15.3823073891615
"GTPBP1",18.0970694029684,18.0622810288928,17.9925357739303,18.2680548001349,18.3488899504877,18.3645189143096
"SMAP",14.9377919094241,15.1798558430138,14.973752694859,15.1165372011952,14.8756933009763,14.839909705125
"RAB27B",15.6237817184417,15.8836128220998,15.3877009209315,15.0813441217515,15.5539619129221,15.5957910493737
"AP3B1",17.7173057156886,17.9088404613413,17.9354202663432,17.6846874020926,17.794658909732,17.9767098287039
"NDUFS8",14.163664690909,14.3662567040206,14.120928355346,14.6306796222189,14.6149923978947,14.6493299498093
"PSMD11",17.745847875994,18.9633759053085,17.5991819266825,17.5127222561932,18.0039619881058,17.5638313491108
"PSMD12",14.7950568032879,15.1087923236512,14.6748478545249,14.4236488759491,14.5017316528752,14.0966855097653
"PSMD9",12.3671650256829,14.6174806088198,10.9477718033276,13.8909821204272,14.1400410405881,13.1111128426009
"MEN1",14.0719737850566,14.0784705741441,14.4833952237648,14.6910575526248,14.3417893379492,14.6202494994412
"CBX4",15.8935898324688,15.3967810269735,16.0231981640796,16.0771721775098,15.9912778037737,15.9983335634443
"SUPT5H",15.3629485688973,15.3295426252203,14.9456464725148,15.0818580441085,15.5280226479581,15.3989864583853
"TAF4",18.105329088643,18.312623883838,18.2249389122614,18.0460290432369,18.2505765585096,18.1751338310003
"CLIC1",17.2997161103625,18.9218321351671,16.0833968437051,17.0417001075461,17.4142014489116,16.3636055538526
"EIF3F",17.3617681881057,17.6500022182623,17.5133632836452,16.7206743248979,16.8272010181925,16.8200994768454
"WWP2",15.0616525987625,14.8405304553933,14.8475041540337,14.235741258762,14.5413456160957,14.2680162448022
"CDC7",15.3503543489975,15.1746666979925,15.0671034390854,15.8067733895092,15.5661590127798,15.9981295980683
