"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","Collection","Enriched_in"
"GOBP_AMINO_ACID_METABOLIC_PROCESS",3.0760034535511e-15,1.12643246469041e-11,1.00731795687447,-0.730264654818124,-2.51897596965768,90,"NARS2;KARS1;RARS1;QARS1;AIMP1;IARS1;DARS1;EEF1E1;DBT;MARS1;EPRS1;PCCA;MCCC2;PCCB;AIMP2;TARS3;FARS2;MCCC1;SARS2;NARS1;LARS1;PLOD1;GCDH;FARSA","GOBP","Sial_rPAL"
"GOBP_AMINO_ACID_ACTIVATION",4.50862284914562e-12,8.25528843678563e-09,0.887074988399873,-0.857528575913984,-2.49396159283694,34,"NARS2;KARS1;RARS1;QARS1;AIMP1;IARS1;DARS1;EEF1E1;MARS1;EPRS1;AIMP2;TARS3;FARS2;SARS2;NARS1;LARS1","GOBP","Sial_rPAL"
"GOBP_TRNA_METABOLIC_PROCESS",8.34058587663271e-10,1.01810751600763e-06,0.801215574617779,-0.614027314809469,-2.18643909012532,115,"NARS2;KARS1;RARS1;QARS1;AIMP1;IARS1;DARS1;EEF1E1;MARS1;EPRS1;SSB;PUS1;AIMP2;TRMT10A;TARS3;TRMT6;FARS2;TRMT61A;SARS2;GRSF1;NARS1;GTF3C2;LARS1;TRMT1;NSUN2;DUS3L;PUS3;DUS2;TRMT10C;TRMT1L;TRPT1;POLR3D;POLR3A;FARSA;PUSL1;MTFMT;TP53RK;METTL8;DUS1L;TRMT5;TSEN54;ALKBH8;GTF3C5;HSD17B10;GTF3C3;TYW3;POLR2F;GTF3C1","GOBP","Sial_rPAL"
"GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX",1.59715433096894e-09,1.46219479000207e-06,0.788186810800237,0.931130801819863,2.33939675569425,14,"EIF3C;EIF3A;EIF3M;EIF3B;EIF3F;EIF3I;EIF3L;EIF3G;EIF3E;EIF3H;EIF3D;EIF3K","GOBP","rPAL"
"GOBP_MUSCLE_CONTRACTION",6.62820860299766e-09,4.85449998083548e-06,0.761460801445585,0.585348363317829,2.26773119927602,101,"RAP1GDS1;RPL4;RPLP0;RPL12;RPL35A;RPL10A;RPL34;RPL7A;RPL7;RPL6;TMOD3;GSN;RPL30;RPL27A;CDK5;RPL5;RPL27;RPL8;RPL14;FLNA;TMOD2;MYH11;RPL36;GPD1L;RPLP1;RPL32;RPL18;SNTB1;RPL23;ACTC1;RPL18A;TPM4;SRSF1;TPM3;MTOR;PABPN1;RPLP2;STUB1;RPL13A;ATP2B4;SETD3;RPL21","GOBP","rPAL"
"GOBP_STRESS_GRANULE_ASSEMBLY",4.42735466232524e-08,2.70216212890584e-05,0.719512826338911,-0.864790335136201,-2.22313121286641,20,"EIF2S1;CIRBP;LSM14A;YTHDF1;DDX6;PRRC2C;CAPRIN1;G3BP2;YTHDF2","GOBP","Sial_rPAL"
"GOBP_REGULATION_OF_MYOBLAST_DIFFERENTIATION",7.19632187297433e-08,3.76470438554743e-05,0.704975715167238,0.831566078861929,2.24752998616202,20,"SMARCA2;SMARCD1;ARID2;PBRM1;SMARCC2;SMARCD2;ACTL6A;BRD7;SMARCB1;SMARCE1;SMARCA4;SMARCC1","GOBP","rPAL"
"GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE",1.96415908786321e-07,8.99093822469383e-05,0.690132458796796,0.619956298328758,2.20049850432614,67,"EPS15;AAK1;EPS15L1;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;NUMB;ITSN2;STON2;NECAP1;DTNBP1;CDK5;CLTA;AP3M2;SNAP29;EFR3A","GOBP","rPAL"
"GOBP_POSITIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION",2.2981131080026e-07,9.35076689056169e-05,0.690132458796796,0.846981487652448,2.23737167721731,19,"SMARCA2;SMARCD1;ARID2;PBRM1;SMARCC2;SMARCD2;ACTL6A;BRD7;SMARCB1;SMARCE1;SMARCA4;SMARCC1","GOBP","rPAL"
"GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION",2.91858725305414e-07,0.000106878665206843,0.674962860011025,0.682253044197931,2.26395532994772,47,"RPL4;RPLP0;RPL12;RPL35A;RPL10A;RPL34;RPL7A;RPL7;RPL6;RPL30;RPL27A;RPL5;RPL27;RPL8;RPL14;RPL36;RPLP1;RPL32;RPL18;RPL23;RPL18A","GOBP","rPAL"
"GOBP_MYOBLAST_FUSION",3.55152169809822e-07,0.00011305979451779,0.674962860011025,0.660160546046886,2.19935453740726,50,"RPL4;RPLP0;RPL12;RPL35A;RPL10A;RPL34;RPL7A;RPL7;RPL6;RPL30;RPL27A;RPL5;RPL27;RPL8;RPL14;RPL36;RPLP1;RPL32;RPL18;RPL23;RPL18A","GOBP","rPAL"
"GOBP_POSTSYNAPTIC_NEUROTRANSMITTER_RECEPTOR_INTERNALIZATION",3.70485399839837e-07,0.00011305979451779,0.674962860011025,0.8837914051877,2.22046004918497,14,"EPS15;AP2S1;AP2A2;AP2B1;AP2M1;AP2A1;NUMB","GOBP","rPAL"
"GOBP_ENDOCYTOSIS",5.00154010224943e-07,0.000132303704064148,0.659444398037935,0.458336256889482,1.9184768478857,184,"EPS15;AAK1;EPS15L1;CLINT1;AP2S1;AP2A2;EEA1;AP2B1;REPS1;AP2M1;AP2A1;NUMB;ITSN2;STON2;RALBP1;NECAP2;BMP2K;NECAP1;CLTC;LYN;DTNBP1;GSN;CDK5;MKLN1;CLTA;SCAMP1;UBE3A;AP3M2;MYO18A;BCR;MYO1G;MTMR2;LMBRD1;RACK1;HMMR;TBC1D24;B2M","GOBP","rPAL"
