"Protein","rPAL_detected","Sial_rPAL_detected","MAR_values_imputed","MNAR_values_imputed"
"TMA7B",3,2,1,0
"ESYT2",3,3,0,0
"MED19",3,3,0,0
"IGLC7",2,1,1,2
"ARHGAP10",3,3,0,0
"HACL2",2,3,1,0
"PLEKHG3",3,3,0,0
"ANKRD18B",3,3,0,0
"PIPSL",3,3,0,0
"NBAS",0,2,1,3
"TARS3",3,3,0,0
"DENND3",3,3,0,0
"VWA8",3,3,0,0
"SBNO1",3,3,0,0
"GTPBP10",3,3,0,0
"CTAGE9",3,2,1,0
"POTEF",2,1,1,2
"CNOT1",3,3,0,0
"GOLGA8O",3,3,0,0
"RBMY1B",3,3,0,0
"ZNF316",3,3,0,0
"TCAF2",3,3,0,0
"DDTL",2,1,1,2
"SMCHD1",3,3,0,0
"METTL15",3,3,0,0
"UNCX",3,3,0,0
"CCDC85C",3,3,0,0
"POM121C",3,3,0,0
"A2ML1",3,3,0,0
"PHF20L1",3,3,0,0
"SNRPGP15",3,3,0,0
"TTC34",3,3,0,0
"MYO1G",3,3,0,0
"MYO9A",3,3,0,0
"TDRD15",3,3,0,0
"NACA",3,3,0,0
"C11orf98",3,3,0,0
"CNK3/IPCEF1",2,3,1,0
"GOLGA8T",3,2,1,0
"AGPS",3,3,0,0
"KIF2A",3,3,0,0
"DDX39A",3,3,0,0
"ACOT7",2,2,2,0
"MYO1C",3,3,0,0
"SNAP23",3,3,0,0
"HAX1",2,2,2,0
"AIP",3,3,0,0
"GTPBP1",3,3,0,0
"SMAP",3,3,0,0
"RAB27B",3,3,0,0
"AP3B1",3,3,0,0
"NDUFS8",3,3,0,0
"PSMD11",3,3,0,0
"PSMD12",3,2,1,0
"PSMD9",1,3,0,2
"MEN1",3,3,0,0
"CBX4",3,3,0,0
"SUPT5H",3,3,0,0
"TAF4",3,3,0,0
"CLIC1",3,3,0,0
"EIF3F",3,3,0,0
"WWP2",3,2,1,0
"CDC7",3,3,0,0
"IPO5",3,3,0,0
"POLRMT",3,3,0,0
"EEF2K",3,1,0,2
"SAP18",3,3,0,0
"DNM1L",3,3,0,0
"RTCA",2,2,2,0
"GOLIM4",3,2,1,0
"PLOD2",3,3,0,0
"EXOC5",3,3,0,0
"HMGN4",3,3,0,0
"COXFA4",3,3,0,0
"PSMD14",3,3,0,0
"ZNF593",3,3,0,0
"BIN1",2,2,2,0
"KPNA3",3,3,0,0
"STK25",3,3,0,0
"KRIT1",3,3,0,0
"PES1",3,3,0,0
"EBAG9",2,3,1,0
"SDCBP",3,3,0,0
"MPHOSPH10",3,3,0,0
"NOP56",3,3,0,0
"DDX3X",3,3,0,0
"KPNA4",3,3,0,0
"E2F3",2,3,1,0
"PPP6C",3,3,0,0
"SCD",3,3,0,0
"ARID1A",3,3,0,0
"CDK2AP1",2,2,2,0
"TRAFD1",3,0,0,3
"COX7A2L",2,1,1,2
"UBFD1",2,0,1,3
"CIT",3,3,0,0
"COPE",3,3,0,0
"EIF1AY",3,3,0,0
"UTY",3,3,0,0
"AP3D1",3,3,0,0
"ABLIM1",3,3,0,0
"DVL1",2,2,2,0
"CHD1",3,3,0,0
"CHD2",3,3,0,0
"ADAM10",3,2,1,0
"EI24",2,0,1,3
"ITGB1BP1",2,0,1,3
"MAP2K7",3,3,0,0
"PDCD5",2,3,1,0
"PRMT5",3,3,0,0
"NHERF1",3,3,0,0
"CHEK1",3,3,0,0
"TPP1",3,3,0,0
"TCERG1",3,3,0,0
"TNPO2",3,3,0,0
"POLR3A",3,3,0,0
"PSMA7",3,3,0,0
"SCAMP3",3,3,0,0
"MGST3",3,3,0,0
"GEMIN2",3,3,0,0
"IKBKB",3,3,0,0
"TIMM23",3,3,0,0
"HAT1",3,3,0,0
"UBE2L6",2,0,1,3
"UQCRQ",3,3,0,0
"MYL12B",3,3,0,0
"AURKA",3,3,0,0
"PPP1R12A",3,3,0,0
"SLC27A2",3,3,0,0
"GAK",3,3,0,0
"HNRNPDL",3,3,0,0
"XPO1",3,3,0,0
"ZNF609",3,3,0,0
"MAST4",3,2,1,0
"SEC16A",3,3,0,0
"U2SURP",3,3,0,0
"SETD1A",3,3,0,0
"PFAS",3,3,0,0
"ANKRD28",3,3,0,0
"LSM1",3,3,0,0
"DEGS1",3,2,1,0
"SCAMP1",3,1,0,2
"ARPC1B",3,3,0,0
"ARPC2",3,3,0,0
"ARPC3",3,3,0,0
"POLR1C",3,3,0,0
"CETN3",3,3,0,0
"PFDN6",3,3,0,0
"WDR46",3,2,1,0
"NKRF",3,3,0,0
"CASC3",3,3,0,0
"MRPS12",3,3,0,0
"RER1",3,3,0,0
"SURF4",3,3,0,0
"ATXN7",3,3,0,0
"SPTLC1",3,3,0,0
"SPTLC2",3,2,1,0
"OGT",3,3,0,0
"POLR3G",3,3,0,0
"INPP4B",3,3,0,0
"HMGB3",3,3,0,0
"PPM1G",3,3,0,0
"EIF3D",3,3,0,0
"EIF3H",3,3,0,0
"HDAC3",0,2,1,3
"NVL",3,3,0,0
"STX7",2,0,1,3
"TNRC18",3,3,0,0
"POLR1G",3,3,0,0
"NUP42",3,3,0,0
"ARPC5",3,3,0,0
"POLR2D",2,2,2,0
"DDX3Y",3,3,0,0
"TAPBP",3,3,0,0
"KCNN4",3,3,0,0
"DHX15",3,3,0,0
"RNMT",3,3,0,0
"RRP8",2,2,2,0
"PJA2",3,3,0,0
"CYB5B",2,1,1,2
"PRPF4",3,3,0,0
"PHGDH",2,3,1,0
"DYNC1LI2",3,1,0,2
"PSMD3",3,3,0,0
"RBFOX2",3,3,0,0
"PAPSS1",1,2,1,2
"ZW10",3,3,0,0
