Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UL_1 Spectral Count	UL_2 Spectral Count	UL_3 Spectral Count	rGAL_1 Spectral Count	rGAL_2 Spectral Count	rGAL_3 Spectral Count	UL_1 Unique Spectral Count	UL_2 Unique Spectral Count	UL_3 Unique Spectral Count	rGAL_1 Unique Spectral Count	rGAL_2 Unique Spectral Count	rGAL_3 Unique Spectral Count	UL_1 Total Spectral Count	UL_2 Total Spectral Count	UL_3 Total Spectral Count	rGAL_1 Total Spectral Count	rGAL_2 Total Spectral Count	rGAL_3 Total Spectral Count	UL_1 Intensity	UL_2 Intensity	UL_3 Intensity	rGAL_1 Intensity	rGAL_2 Intensity	rGAL_3 Intensity	UL_1 MaxLFQ Intensity	UL_2 MaxLFQ Intensity	UL_3 MaxLFQ Intensity	rGAL_1 MaxLFQ Intensity	rGAL_2 MaxLFQ Intensity	rGAL_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|A0A2R8Y4L2|RA1L3_HUMAN	A0A2R8Y4L2	RA1L3_HUMAN	HNRNPA1L3	320	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein A1-like 3	1.0	0.9986	2	15	0	15	2	4	2	2	4	1	0	0	0	0	0	0	2	4	2	2	4	1	36590.27	46329.414	29731.291	21000.035	20205.906	39386.395	36590.27	31134.688	29731.291	21000.035	20205.906	39386.395	sp|P09651|ROA1_HUMAN, sp|Q32P51|RA1L2_HUMAN
sp|A0A8I5KQE6|RPSA2_HUMAN	A0A8I5KQE6	RPSA2_HUMAN	RPSA2	295	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS2B	0.9813	0.999	1	3	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	18043.158	0.0	0.0	0.0	0.0	22432.324	18043.158	0.0	0.0	0.0	0.0	22432.324	sp|P08865|RSSA_HUMAN
sp|A5YKK6|CNOT1_HUMAN	A5YKK6	CNOT1_HUMAN	CNOT1	2376	Homo sapiens	1:Experimental evidence at protein level	CCR4-NOT transcription complex subunit 1	0.999	0.9965	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	14307.658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A8MYJ7|TTC34_HUMAN	A8MYJ7	TTC34_HUMAN	TTC34	566	Homo sapiens	1:Experimental evidence at protein level	Tetratricopeptide repeat protein 34	0.9958	0.9632	1	12	12	12	3	3	0	1	1	4	3	3	0	1	1	4	3	3	0	1	1	4	11967.092	1518.7483	0.0	0.0	6199.0454	413636.22	15462.323	1962.3295	0.0	0.0	8009.602	141127.83	
sp|B0I1T2|MYO1G_HUMAN	B0I1T2	MYO1G_HUMAN	MYO1G	1018	Homo sapiens	1:Experimental evidence at protein level	Unconventional myosin-Ig	1.0	0.9986	7	24	24	24	5	3	6	3	3	4	5	3	6	3	3	4	5	3	6	3	3	4	124119.11	83224.86	140086.97	44395.836	95715.66	98057.27	69840.75	42386.28	43662.027	44478.016	51293.01	43470.117	
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda-like polypeptide 5	1.0	0.999	2	7	0	7	1	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	6	9118.802	0.0	0.0	0.0	0.0	33123.887	0.0	0.0	0.0	0.0	0.0	0.0	
sp|E9PRG8|CK098_HUMAN	E9PRG8	CK098_HUMAN	C11orf98	123	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein C11orf98	1.0	0.999	3	17	17	17	1	1	2	3	5	5	1	1	2	3	5	5	1	1	2	3	5	5	66142.766	65742.24	68731.984	80518.28	85072.0	113615.69	66142.766	65742.24	52748.176	64894.707	65489.94	67845.02	
sp|O00139|KIF2A_HUMAN	O00139	KIF2A_HUMAN	KIF2A	706	Homo sapiens	1:Experimental evidence at protein level	Kinesin-like protein KIF2A	0.7262	0.9804	1	3	3	3	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1	18730.695	0.0	0.0	0.0	0.0	9665.297	18730.695	0.0	0.0	0.0	0.0	9665.297	
sp|O00203|AP3B1_HUMAN	O00203	AP3B1_HUMAN	AP3B1	1094	Homo sapiens	1:Experimental evidence at protein level	AP-3 complex subunit beta-1	1.0	0.9987	2	15	15	15	2	4	1	3	2	3	2	4	1	3	2	3	2	4	1	3	2	3	32440.27	31477.463	23071.113	25863.34	15027.124	16340.512	20799.062	31477.463	23071.113	25863.34	15027.124	16340.512	
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	0.7428	0.982	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.0	11034.868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00303|EIF3F_HUMAN	O00303	EIF3F_HUMAN	EIF3F	357	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit F	0.9695	0.9983	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	15131.128	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O00330|ODPX_HUMAN	O00330	ODPX_HUMAN	PDHX	501	Homo sapiens	1:Experimental evidence at protein level	Pyruvate dehydrogenase protein X component, mitochondrial	0.884	0.9931	1	3	3	3	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	29174.85	35355.68	0.0	34341.656	0.0	0.0	29174.85	35355.68	0.0	34341.656	0.0	0.0	
